Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
1000PEPEUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.2673734885315895,4,100.0,True,10,20,1.5,60,30,0.05,0.2,3,5,3
1000PEPEUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,10,36,2.2,65,30,0.08,0.1,4,4,2
1000PEPEUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.7968480972928136,1,100.0,True,16,34,1.5,65,35,0.05,0.2,2,4,5
1000PEPEUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.183305273901585,4,50.0,True,8,22,1.5,70,30,0.15,0.3,2,4,5
1000PEPEUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-50.52408453198356,25,60.0,True,8,36,1.5,60,25,0.08,0.2,3,4,3
1000PEPEUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.124423934958422,5,80.0,True,16,22,1.5,80,35,0.2,0.1,2,4,4
1000PEPEUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.10208232295757513,2,50.0,True,12,10,1.5,65,30,0.12,0.25,4,4,5
1000PEPEUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.1097821696319574,5,80.0,True,10,10,1.5,65,35,0.05,0.2,6,4,4
1000PEPEUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.5149095018328165,1,100.0,True,16,16,2.5,60,35,0.08,0.3,4,4,3
1000PEPEUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.9088799918199904,1,100.0,True,14,18,2.2,65,35,0.2,0.1,3,5,5
1000PEPEUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.241141069518471,4,25.0,True,12,26,1.8,80,30,0.05,0.3,4,4,1
1000PEPEUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.6742828369884268,3,66.66666666666666,True,14,22,1.5,70,35,0.2,0.3,9,4,3
