Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
ADAUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.49764882840002134,3,66.66666666666666,True,8,16,1.5,80,30,0.1,0.25,6,4,3
ADAUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.5380206624000072,1,100.0,True,12,32,1.5,80,35,0.1,0.3,7,4,2
ADAUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,12,1.5,70,30,0.05,0.25,3,6,4
ADAUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,8,12,1.8,70,30,0.05,0.1,2,4,1
ADAUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.136821528799999,3,100.0,True,8,24,2.0,65,25,0.12,0.25,2,4,5
ADAUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,16,34,2.2,70,35,0.05,0.25,3,4,4
ADAUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,8,34,1.5,75,30,0.12,0.15,13,4,3
ADAUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.985462327200006,2,100.0,True,8,36,1.5,60,30,0.08,0.25,7,4,1
ADAUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,18,38,1.8,75,25,0.2,0.15,2,11,4
ADAUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.15362645759999793,1,0.0,True,8,36,1.5,65,30,0.2,0.15,8,4,2
ADAUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,16,38,2.0,80,20,0.12,0.1,3,4,3
ADAUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,28,30,2.2,70,25,0.12,0.25,3,8,2
ADAUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.22107192800000508,1,100.0,True,20,32,1.5,75,35,0.15,0.25,5,4,5
ADAUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.3273566131999823,2,100.0,True,10,34,1.5,60,35,0.2,0.15,4,4,4
ADAUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,10,34,1.5,80,25,0.08,0.3,3,6,1
ADAUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.2077195460000096,2,50.0,True,8,38,2.2,65,25,0.15,0.1,3,4,5
ADAUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,24,34,1.8,75,35,0.08,0.3,4,4,4
ADAUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.7865269568000155,1,100.0,True,10,36,1.8,80,25,0.1,0.3,4,4,1
ADAUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,18,34,1.5,80,35,0.1,0.15,5,4,1
ADAUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.052162316799986286,1,100.0,True,8,36,1.8,60,15,0.12,0.2,7,4,1
ADAUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,16,38,1.8,70,30,0.05,0.15,3,4,2
ADAUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.2416268799999797,1,100.0,True,8,26,1.5,75,30,0.15,0.25,3,4,4
ADAUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-20.11395413319995,8,75.0,True,14,36,1.5,70,30,0.1,0.15,2,4,5
ADAUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.657693885599997,1,100.0,True,12,24,1.5,60,15,0.12,0.25,5,7,5
ADAUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.3478471820000051,1,0.0,True,18,16,2.0,80,30,0.05,0.15,7,4,1
ADAUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,16,14,1.5,65,30,0.05,0.25,2,5,1
ADAUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,18,10,1.5,70,25,0.05,0.2,1,6,2
