Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
AVAXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.1858178119999803,4,75.0,True,10,26,1.5,60,35,0.08,0.1,3,5,3
AVAXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.3004183080000056,1,0.0,True,12,36,1.8,70,30,0.12,0.3,10,5,5
AVAXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,10,38,1.8,65,15,0.05,0.3,4,5,2
AVAXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,20,38,1.5,70,35,0.08,0.25,2,4,4
AVAXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.8429092040000103,2,100.0,True,12,38,1.5,65,30,0.1,0.25,6,4,2
AVAXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,13.674014707999959,5,100.0,True,10,38,1.5,70,35,0.08,0.25,4,4,1
AVAXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.8294042520000016,1,0.0,True,18,30,1.5,80,35,0.1,0.15,2,4,4
AVAXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.04074352000001,4,75.0,True,10,26,1.5,75,35,0.12,0.15,4,4,1
AVAXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,18,16,2.2,65,30,0.1,0.25,2,7,2
AVAXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.255702340000008,1,100.0,True,8,28,1.5,70,30,0.12,0.1,3,4,5
AVAXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,16,12,1.8,60,35,0.12,0.3,2,4,3
AVAXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.4653785999999771,1,100.0,True,10,12,2.0,60,30,0.08,0.15,2,6,5
AVAXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.3342789120000189,1,100.0,True,10,12,2.0,70,25,0.08,0.2,2,6,1
AVAXUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.095522264000005,1,100.0,True,12,34,1.5,80,35,0.1,0.2,7,4,3
AVAXUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.6152917079999662,3,66.66666666666666,True,8,38,1.5,60,20,0.05,0.2,2,4,1
AVAXUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,4.475339567999992,1,100.0,True,12,36,2.0,65,35,0.2,0.25,2,4,3
AVAXUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-1.2322316040000114,1,0.0,True,12,30,1.5,65,30,0.12,0.2,5,4,2
AVAXUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,22,34,1.5,60,30,0.12,0.1,1,8,3
AVAXUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.8312695280000124,1,0.0,True,8,28,1.5,70,35,0.08,0.25,4,4,1
AVAXUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.3056777800000252,1,0.0,True,10,28,1.5,80,30,0.15,0.3,5,4,1
AVAXUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.40882496400000967,1,100.0,True,18,38,1.5,75,30,0.15,0.3,9,4,1
AVAXUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,20,24,2.0,65,20,0.05,0.25,3,7,3
AVAXUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,18,20,1.5,80,35,0.08,0.1,12,4,3
AVAXUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.8548017600000364,3,66.66666666666666,True,12,34,1.8,60,30,0.12,0.1,5,4,1
AVAXUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.7245990759999987,1,0.0,True,12,32,1.5,60,35,0.05,0.2,2,6,3
AVAXUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,14,26,1.5,70,25,0.05,0.1,6,8,3
AVAXUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,20,30,1.5,60,25,0.15,0.1,4,4,3
