Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
AVAXUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.3243209800000173,2,100.0,True,8,32,2.2,65,25,0.1,0.1,1,4,3
AVAXUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.6993321159999741,2,100.0,True,12,38,1.8,80,25,0.05,0.1,4,4,4
AVAXUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,10,34,1.8,60,20,0.08,0.3,2,5,3
AVAXUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.9533683839999982,1,100.0,True,16,32,1.8,60,35,0.12,0.1,2,4,5
AVAXUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.545214700000025,3,100.0,True,12,32,1.5,75,35,0.12,0.25,2,4,1
AVAXUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.7367952720000615,3,66.66666666666666,True,14,38,1.8,60,30,0.15,0.15,1,4,2
AVAXUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.2078936639999824,2,50.0,True,10,22,1.5,60,35,0.1,0.15,1,4,5
AVAXUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,5.7948185680000375,3,66.66666666666666,True,8,24,1.5,60,35,0.2,0.15,4,4,1
AVAXUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,8,34,2.0,70,35,0.2,0.3,3,4,1
AVAXUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.5239622440000202,1,100.0,True,10,24,1.5,65,25,0.08,0.25,4,4,1
AVAXUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.13059988800001587,2,50.0,True,10,38,1.5,60,35,0.08,0.3,8,4,3
