Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
BNBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,True,26,36,1.5,70,35,0.1,0.15,3,6,2
BNBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.21383936000000103,1,0.0,True,16,30,1.5,80,30,0.08,0.1,2,4,2
BNBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,20,32,1.5,75,35,0.2,0.15,1,4,5
BNBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,12,22,1.5,60,20,0.1,0.1,1,4,5
BNBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.5909819200000221,3,33.33333333333333,True,10,20,1.5,70,20,0.05,0.1,4,4,2
BNBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,20,24,2.0,60,30,0.08,0.1,1,5,5
BNBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.243693999999996,1,0.0,True,26,38,1.5,70,35,0.08,0.3,1,4,3
BNBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.8167415600000134,1,0.0,True,10,38,1.8,70,35,0.08,0.25,1,4,2
BNBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,26,36,1.8,75,30,0.1,0.3,1,4,4
BNBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,8,26,1.8,70,35,0.12,0.1,1,5,1
BNBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,10,38,1.5,80,35,0.12,0.2,1,5,3
BNBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,16,36,2.2,65,25,0.1,0.15,1,6,1
BNBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,12,26,1.5,70,25,0.08,0.1,7,4,3
BNBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.1753851200000165,1,100.0,True,20,28,1.5,60,35,0.15,0.15,3,4,5
BNBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,16,38,1.5,80,35,0.08,0.1,4,4,2
BNBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,9.066993720000038,2,100.0,True,16,36,1.8,70,20,0.08,0.15,3,7,1
BNBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,12,36,2.2,65,35,0.1,0.2,2,4,1
BNBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,14,38,1.8,65,25,0.05,0.2,3,4,3
BNBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,10,36,1.8,70,25,0.1,0.3,2,5,1
BNBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,16,38,2.5,80,35,0.08,0.25,3,4,1
BNBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,28,36,1.8,70,20,0.12,0.15,2,5,4
BNBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,18,22,2.0,80,20,0.05,0.25,2,8,1
BNBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,12,24,3.0,75,20,0.12,0.2,3,9,5
BNBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,10,32,2.2,75,35,0.12,0.1,13,9,2
BNBUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,24,28,3.0,70,20,0.15,0.15,2,6,3
BNBUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,12,16,2.0,75,35,0.1,0.15,1,4,2
BNBUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,20,36,1.5,70,35,0.08,0.1,4,4,1
