Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
BNBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,9.409810800000006,2,100.0,True,12,38,1.8,65,30,0.05,0.3,1,4,2
BNBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,8,26,2.0,60,30,0.1,0.3,1,4,5
BNBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,26,1.5,60,35,0.1,0.1,1,4,2
BNBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,12,32,2.2,70,35,0.05,0.3,6,4,1
BNBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.275948399999987,2,100.0,True,10,32,1.8,80,35,0.08,0.25,1,4,3
BNBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,22,12,2.2,70,20,0.05,0.2,1,5,1
BNBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,8,14,1.5,70,35,0.05,0.3,1,4,4
BNBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,8.336972759999984,1,100.0,True,18,38,1.8,60,20,0.08,0.1,1,4,1
BNBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,26,38,1.5,80,35,0.08,0.25,1,4,5
BNBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,8,38,1.5,75,35,0.2,0.1,6,4,5
BNBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,12,30,3.0,75,15,0.08,0.1,1,5,1
BNBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.4759385999999921,1,100.0,True,8,38,1.5,60,35,0.1,0.3,4,4,3
BNBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,14,34,1.8,70,25,0.2,0.2,1,4,2
BNBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.5341451999999922,1,100.0,True,14,38,2.0,65,30,0.15,0.1,2,4,3
BNBUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,8,36,1.5,65,25,0.15,0.1,1,5,2
BNBUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.0780678399999752,1,100.0,True,14,34,2.5,65,15,0.05,0.3,4,4,1
BNBUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,8,34,1.8,70,20,0.05,0.2,2,4,1
BNBUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,24,28,2.2,80,30,0.1,0.25,3,4,1
BNBUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,28,36,2.2,60,30,0.08,0.15,2,6,2
BNBUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,26,38,1.5,80,30,0.05,0.1,2,8,1
BNBUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,24,38,2.2,80,35,0.12,0.15,2,5,1
BNBUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,22,36,1.5,65,30,0.05,0.3,2,10,1
BNBUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,26,34,1.5,65,35,0.05,0.25,4,4,2
BNBUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,10,30,3.0,65,15,0.15,0.15,5,13,3
BNBUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.1670728000000241,2,50.0,True,18,34,1.5,80,25,0.2,0.1,3,4,4
BNBUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,16,38,2.5,60,35,0.05,0.15,1,6,4
BNBUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,20,32,1.5,80,35,0.15,0.1,1,4,3
