Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
BTCUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,True,18,32,2.2,80,15,0.15,0.25,8,12,1
BTCUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,12,26,1.5,75,15,0.05,0.3,1,6,1
BTCUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,26,14,2.5,65,30,0.15,0.1,13,9,3
BTCUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,20,38,1.5,60,15,0.1,0.2,13,5,5
BTCUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,True,14,10,2.2,75,25,0.05,0.1,6,11,3
BTCUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,20,32,1.5,70,35,0.12,0.25,3,5,1
BTCUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,22,30,1.8,60,35,0.08,0.3,9,5,2
BTCUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,True,8,10,1.8,75,20,0.08,0.1,2,10,2
BTCUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,26,10,2.0,60,25,0.1,0.1,12,4,3
BTCUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,20,10,1.5,60,20,0.05,0.2,1,4,4
BTCUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,14,30,1.5,60,30,0.12,0.1,3,10,1
BTCUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,24,30,1.8,70,15,0.12,0.2,14,6,2
BTCUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,24,32,1.8,65,30,0.12,0.15,6,7,4
BTCUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,24,38,2.5,60,20,0.15,0.1,14,12,3
BTCUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,22,18,2.2,65,35,0.15,0.15,6,9,4
BTCUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,True,22,36,2.2,80,35,0.08,0.3,3,6,4
BTCUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,18,14,1.5,75,30,0.2,0.3,6,11,5
BTCUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,12,30,2.0,75,30,0.1,0.1,6,9,2
BTCUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,10,22,1.8,80,35,0.2,0.2,13,11,5
BTCUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,16,34,2.5,70,25,0.05,0.3,8,8,3
BTCUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,14,28,3.0,80,25,0.05,0.25,11,9,1
BTCUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,14,22,2.2,60,25,0.15,0.2,13,5,3
BTCUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,12,14,2.5,70,15,0.15,0.15,14,11,4
BTCUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,12,38,2.5,65,30,0.12,0.3,9,4,1
BTCUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,14,12,2.0,70,20,0.1,0.1,12,11,2
BTCUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,10,26,2.0,80,30,0.12,0.15,5,9,3
BTCUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,16,36,1.5,65,35,0.15,0.3,2,8,5
