Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
BTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,True,20,34,2.0,60,25,0.05,0.3,7,10,5
BTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,14,10,2.2,75,35,0.1,0.1,4,4,3
BTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,26,14,1.5,70,25,0.15,0.2,10,14,3
BTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,20,36,2.2,65,15,0.2,0.1,11,14,4
BTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,True,26,18,1.5,80,30,0.2,0.15,7,5,3
BTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,16,18,2.5,75,20,0.15,0.25,13,5,2
BTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,14,22,1.5,75,35,0.05,0.3,13,6,2
BTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,True,8,36,1.5,70,20,0.12,0.15,1,6,2
BTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,18,30,1.8,60,35,0.15,0.15,12,4,5
BTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,26,34,2.5,80,20,0.05,0.2,4,14,1
BTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,26,32,3.0,70,15,0.2,0.15,9,13,1
BTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,28,30,1.5,70,30,0.05,0.2,2,7,4
BTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,12,24,2.0,60,15,0.1,0.1,10,10,1
BTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,8,28,2.2,60,20,0.1,0.2,9,14,5
BTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,10,12,2.0,80,35,0.05,0.1,6,13,4
BTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,True,18,32,1.5,80,15,0.1,0.25,8,4,4
BTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,24,34,2.5,65,15,0.12,0.3,2,9,1
BTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,20,32,2.5,80,20,0.08,0.3,1,5,4
BTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,12,24,2.2,65,15,0.12,0.1,9,6,2
BTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,14,28,3.0,75,30,0.2,0.1,12,6,3
BTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,24,28,3.0,60,15,0.1,0.25,11,13,5
BTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,12,20,3.0,70,30,0.1,0.2,3,6,4
BTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,14,14,1.5,75,35,0.2,0.2,4,14,2
BTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,10,28,2.5,80,15,0.12,0.1,10,8,3
BTCUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,24,32,2.0,70,20,0.2,0.1,6,13,3
BTCUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,28,30,3.0,60,35,0.2,0.15,5,5,2
BTCUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,8,32,2.2,75,15,0.12,0.3,9,12,3
