Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
DOGEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.9880740712800096,2,100.0,True,10,26,1.8,60,35,0.05,0.25,3,4,2
DOGEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.2528026614800014,1,0.0,True,10,34,1.8,70,30,0.12,0.3,2,4,1
DOGEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,10,24,1.8,60,30,0.05,0.3,3,4,2
DOGEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.9611482291199902,1,100.0,True,14,38,1.5,60,35,0.05,0.2,2,4,2
DOGEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,19.301189690639966,13,69.23076923076923,True,10,38,1.5,65,20,0.05,0.15,4,4,3
DOGEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.602746866679986,5,60.0,True,26,38,1.5,70,35,0.15,0.1,2,4,3
DOGEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.895797711840055,4,50.0,True,28,38,1.5,65,35,0.08,0.25,3,4,1
DOGEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.0845734683599755,2,0.0,True,12,38,1.8,75,25,0.1,0.2,3,4,4
DOGEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.5812273518399858,1,100.0,True,12,30,1.5,60,25,0.05,0.2,7,5,2
DOGEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.5019955892400239,1,100.0,True,12,26,1.5,80,25,0.1,0.3,3,4,1
DOGEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.9397424700799757,2,50.0,True,18,24,1.5,65,30,0.15,0.2,2,4,5
DOGEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.7104206332000382,2,100.0,True,16,30,1.5,60,35,0.1,0.3,3,4,2
DOGEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2383864063999939,1,100.0,True,16,38,1.5,65,35,0.05,0.25,4,4,3
DOGEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,26,20,1.5,60,25,0.05,0.15,2,4,3
DOGEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.136622979079993,1,100.0,True,8,24,1.5,70,25,0.05,0.3,2,4,4
DOGEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.6841099667599844,3,33.33333333333333,True,12,30,1.5,60,25,0.12,0.15,4,4,4
DOGEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.3270326781600108,1,0.0,True,14,30,2.0,60,30,0.05,0.15,4,4,2
DOGEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.6395003596800137,2,100.0,True,24,38,1.5,65,30,0.2,0.15,2,4,5
DOGEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.4170954009599992,1,100.0,True,24,38,1.5,70,30,0.12,0.15,3,4,4
DOGEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.09817159148000076,1,100.0,True,20,38,2.0,65,30,0.2,0.25,8,4,3
DOGEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,16,28,3.0,80,15,0.05,0.25,11,14,4
DOGEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,8,14,1.5,75,15,0.05,0.15,2,7,1
DOGEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-9.233287901359999,6,83.33333333333334,True,24,30,1.5,65,35,0.2,0.25,10,4,4
DOGEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-1.6816388915199654,1,0.0,True,26,32,2.0,60,25,0.12,0.15,1,5,5
DOGEUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,26,36,1.8,60,15,0.1,0.1,2,6,2
DOGEUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.1336019198799914,4,50.0,True,14,34,2.0,65,35,0.05,0.15,2,4,4
DOGEUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.5355723158399948,1,0.0,True,8,22,1.5,80,35,0.1,0.2,3,4,1
