Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
ETHUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.2824393999999897,2,50.0,True,12,38,1.8,75,25,0.05,0.1,1,4,4
ETHUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,12,36,2.0,60,35,0.12,0.1,3,4,2
ETHUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,26,1.5,60,35,0.12,0.1,5,4,5
ETHUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,10,24,1.5,65,20,0.2,0.3,8,5,1
ETHUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,True,12,28,1.8,70,35,0.05,0.3,4,4,1
ETHUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,16,32,1.5,65,35,0.08,0.15,1,5,2
ETHUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,24,38,1.5,60,35,0.2,0.3,3,4,1
ETHUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,5.747756039999996,2,100.0,True,22,14,2.0,70,35,0.2,0.15,1,6,5
ETHUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,12,18,2.2,80,25,0.1,0.2,1,7,4
ETHUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,8,18,2.5,65,20,0.12,0.15,1,4,4
ETHUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,12,26,1.5,75,30,0.12,0.15,1,8,2
ETHUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,8,14,1.5,65,35,0.05,0.1,4,7,4
ETHUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,24,18,2.5,75,35,0.2,0.1,3,4,5
ETHUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,12,16,2.2,60,35,0.08,0.15,1,6,3
ETHUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,10,38,1.8,70,35,0.05,0.15,9,4,3
ETHUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.2038717199999835,1,100.0,True,20,36,1.8,65,25,0.12,0.15,10,4,3
ETHUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,18,36,1.8,75,30,0.15,0.3,3,4,1
ETHUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,5.263696800000006,2,100.0,True,12,38,1.8,70,20,0.2,0.2,1,4,4
ETHUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,24,32,1.5,60,35,0.2,0.15,3,4,3
ETHUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,16,34,2.5,60,15,0.08,0.1,2,12,4
ETHUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,28,34,1.5,70,20,0.08,0.15,1,9,3
ETHUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,8,22,2.5,65,30,0.05,0.1,1,9,3
ETHUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,14,30,2.5,60,20,0.1,0.25,12,11,2
ETHUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,20,26,2.5,70,25,0.2,0.25,1,4,4
ETHUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,10,32,2.0,80,35,0.12,0.2,4,4,4
ETHUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,26,32,1.5,65,20,0.08,0.25,13,5,5
ETHUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,10,34,2.0,65,30,0.2,0.25,8,4,3
