Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
ETHUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.4321584000000156,1,100.0,True,20,20,2.2,70,30,0.12,0.2,2,7,4
ETHUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,10,12,2.0,60,30,0.2,0.3,1,5,1
ETHUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,12,36,2.5,65,20,0.2,0.25,1,7,1
ETHUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,20,10,2.5,60,25,0.2,0.25,1,4,5
ETHUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,3.115691120000008,1,100.0,True,26,20,2.2,75,35,0.1,0.2,1,4,2
ETHUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,8,36,2.0,80,25,0.08,0.15,1,9,5
ETHUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,8,38,2.2,75,35,0.08,0.2,1,5,3
ETHUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.2443948000000047,2,0.0,True,18,30,1.5,75,30,0.15,0.25,1,4,4
ETHUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,18,32,2.5,60,35,0.08,0.3,1,6,1
ETHUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,26,28,2.0,60,35,0.1,0.25,1,7,1
ETHUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-5.273099039999984,1,0.0,True,18,38,2.0,65,25,0.15,0.25,1,5,3
ETHUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,14,38,3.0,65,30,0.12,0.3,1,5,2
ETHUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,18,32,2.5,70,30,0.15,0.25,1,6,5
ETHUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,16,38,2.5,70,35,0.2,0.2,6,4,5
ETHUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,10,32,2.0,60,30,0.12,0.15,14,4,2
ETHUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.269308159999995,1,0.0,True,12,38,2.0,75,35,0.05,0.1,7,5,5
ETHUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,12,34,2.0,75,20,0.1,0.1,10,4,3
ETHUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,28,38,2.2,80,15,0.12,0.1,1,14,5
ETHUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,12,38,2.5,60,25,0.1,0.25,1,7,2
ETHUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,14,36,2.0,75,25,0.08,0.3,1,14,4
ETHUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,16,38,3.0,80,25,0.2,0.2,1,11,5
ETHUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,16,38,1.5,80,25,0.05,0.3,1,9,3
ETHUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,20,24,2.2,80,35,0.12,0.2,5,4,1
ETHUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,14,18,2.5,65,20,0.12,0.1,7,14,5
ETHUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,10,36,1.5,75,35,0.12,0.2,11,5,1
ETHUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,20,10,2.0,60,35,0.2,0.15,11,8,4
ETHUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,16,32,1.8,70,30,0.05,0.2,6,7,2
