Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
LINKUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.6036386400000158,1,100.0,True,20,20,1.5,70,30,0.15,0.3,2,5,4
LINKUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.8676136000000287,1,100.0,True,8,26,1.5,75,15,0.05,0.25,1,4,4
LINKUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.6706351600000335,3,33.33333333333333,True,18,38,1.5,70,35,0.12,0.25,2,4,3
LINKUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.23596296399999162,1,0.0,True,16,38,1.5,65,35,0.05,0.15,4,4,4
LINKUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.7112089800000145,5,80.0,True,10,38,1.5,65,30,0.05,0.1,7,4,1
LINKUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,18,20,1.8,70,30,0.15,0.2,3,5,4
LINKUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,8,32,1.5,60,25,0.2,0.2,2,6,4
LINKUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.8005476799999967,1,100.0,True,10,38,1.8,75,30,0.15,0.2,4,4,1
LINKUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,8,18,2.0,60,35,0.08,0.25,2,5,3
LINKUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,12,16,2.0,60,30,0.12,0.15,2,4,2
LINKUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,14,18,1.5,65,20,0.12,0.15,2,5,2
