Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
LTCUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.562375199999999,1,100.0,True,24,34,2.0,70,35,0.05,0.25,1,4,5
LTCUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,10,18,1.5,75,35,0.2,0.3,1,4,3
LTCUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,26,1.5,70,35,0.08,0.2,2,4,2
LTCUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,28,20,3.0,75,35,0.1,0.1,1,6,3
LTCUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.350394880000001,1,100.0,True,18,32,3.0,65,25,0.12,0.1,1,7,2
LTCUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,24,36,1.8,60,25,0.08,0.25,2,4,3
LTCUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.0585619199999563,2,50.0,True,16,36,1.5,70,35,0.08,0.2,2,5,1
LTCUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-0.33676827999999936,2,50.0,True,18,38,1.8,65,35,0.05,0.3,1,4,1
LTCUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,12,38,1.8,70,30,0.15,0.1,2,4,1
LTCUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,10,36,1.5,70,35,0.05,0.15,1,5,4
LTCUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.8369920000000031,1,100.0,True,8,34,1.5,80,35,0.05,0.3,3,5,5
LTCUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.38102831999999864,1,100.0,True,28,34,1.5,60,35,0.05,0.1,7,5,2
LTCUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.15509168000001905,1,0.0,True,24,38,1.5,65,25,0.12,0.2,2,5,3
