Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
NEARUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,13.20600463999999,8,100.0,True,12,32,1.5,70,30,0.08,0.2,3,4,2
NEARUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.417149215999983,2,100.0,True,22,34,1.5,60,35,0.05,0.15,2,4,4
NEARUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,14,34,1.5,75,25,0.12,0.2,3,4,3
NEARUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.0937864480000004,1,100.0,True,12,38,1.8,60,30,0.05,0.3,3,4,5
NEARUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-2.345896772,7,85.71428571428571,True,10,34,1.5,65,35,0.08,0.25,5,4,4
NEARUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.049505267999984,2,100.0,True,8,18,1.5,60,30,0.05,0.15,5,4,4
NEARUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,18,22,1.5,65,30,0.05,0.25,3,9,1
NEARUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,9.173945963999985,3,100.0,True,10,22,2.2,75,35,0.08,0.15,2,7,4
NEARUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,8,34,1.5,65,25,0.05,0.2,3,5,5
NEARUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,12,22,1.5,70,35,0.08,0.3,2,8,2
NEARUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,8,32,1.5,65,30,0.08,0.1,2,7,5
NEARUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.9936487200000288,3,100.0,True,8,36,1.5,70,30,0.05,0.15,9,4,3
NEARUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.5025368000000086,1,100.0,True,10,34,1.5,70,35,0.05,0.15,11,5,3
NEARUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,18,28,2.2,75,35,0.08,0.2,2,7,2
