Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
NEARUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.305647712000018,6,83.33333333333334,True,12,26,1.8,60,35,0.05,0.15,5,4,1
NEARUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.9105958559999534,3,66.66666666666666,True,14,26,1.5,70,35,0.15,0.25,3,4,1
NEARUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,20,28,1.5,60,35,0.15,0.1,2,4,2
NEARUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.1235358199999776,1,100.0,True,8,36,1.5,70,30,0.12,0.15,2,5,4
NEARUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,13.148011912000012,8,87.5,True,8,36,1.5,70,30,0.12,0.2,2,4,5
NEARUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,3.502138776000008,1,100.0,True,10,18,1.8,65,35,0.12,0.1,2,4,5
NEARUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.46724598000001,1,0.0,True,8,24,1.5,75,35,0.05,0.25,2,5,4
NEARUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.691991108000004,1,0.0,True,8,26,1.8,65,25,0.2,0.3,3,4,1
NEARUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.2589259480000003,3,0.0,True,20,26,1.5,60,35,0.15,0.1,3,4,4
NEARUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.4405589439999913,1,0.0,True,8,28,1.8,65,35,0.08,0.25,12,4,3
NEARUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.9603433280000129,1,100.0,True,14,36,1.5,60,35,0.2,0.3,4,4,3
NEARUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.8330887199999859,2,50.0,True,22,28,1.5,65,25,0.1,0.15,4,4,4
NEARUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.1062088639999912,1,100.0,True,8,32,1.5,75,35,0.1,0.25,5,4,3
NEARUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,6.411121859999991,2,100.0,True,12,20,1.5,70,30,0.1,0.15,4,4,2
NEARUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,12,30,1.8,75,30,0.08,0.1,8,4,5
NEARUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.10845900000000519,1,100.0,True,8,34,2.2,60,30,0.15,0.15,2,9,2
NEARUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9039339520000356,2,50.0,True,8,32,1.8,65,20,0.08,0.15,3,4,5
NEARUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,8,34,2.0,65,20,0.05,0.1,2,4,2
NEARUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,16,20,1.5,70,20,0.1,0.25,2,9,3
NEARUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.023655475999998,1,0.0,True,26,34,2.0,70,35,0.08,0.1,3,4,1
NEARUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,26,28,1.5,60,25,0.05,0.15,3,4,4
NEARUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.21081016800001962,1,100.0,True,10,38,1.8,60,25,0.08,0.3,7,4,3
NEARUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.99774476399999,3,100.0,True,12,38,1.5,75,15,0.12,0.15,2,5,2
NEARUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.929031503999945,2,100.0,True,12,34,1.8,60,20,0.05,0.25,4,4,1
NEARUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,26,38,1.5,60,20,0.05,0.2,2,4,2
NEARUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-9.50522813200001,2,50.0,True,8,24,1.5,60,35,0.05,0.25,3,4,1
NEARUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.8111291519999924,1,0.0,True,12,18,1.5,70,35,0.05,0.25,2,4,3
