Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
SOLUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,8.011469143999971,8,100.0,True,10,36,1.5,65,35,0.05,0.3,4,4,2
SOLUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.940722795999995,1,100.0,True,22,38,1.5,60,35,0.05,0.1,2,4,4
SOLUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,38,1.5,60,30,0.08,0.25,6,4,1
SOLUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.217756840000006,1,100.0,True,8,36,1.5,70,25,0.05,0.15,2,4,3
SOLUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.547526775999989,1,100.0,True,12,30,2.0,60,35,0.2,0.1,1,4,1
SOLUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.051994295999990836,1,0.0,True,8,38,1.5,60,25,0.15,0.1,6,4,4
SOLUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,10,36,1.5,60,35,0.08,0.25,1,4,1
SOLUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,8.213930607999998,2,50.0,True,14,28,2.2,70,35,0.15,0.3,1,10,4
SOLUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,18,24,1.8,75,35,0.08,0.2,1,10,1
SOLUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,26,26,1.5,70,35,0.08,0.1,1,9,1
SOLUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,10,26,2.5,70,30,0.08,0.3,1,10,5
SOLUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,28,32,1.8,65,30,0.1,0.15,1,11,2
SOLUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.6932996000000005,2,50.0,True,12,38,2.2,80,35,0.15,0.25,1,4,2
SOLUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,14,26,2.2,65,35,0.05,0.1,2,4,4
SOLUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,20,36,1.5,65,35,0.2,0.3,1,4,1
SOLUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.448938419999996,1,0.0,True,16,38,2.5,80,30,0.2,0.2,1,4,1
SOLUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,20,10,1.5,70,30,0.2,0.3,1,4,3
SOLUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.0404882799999848,1,100.0,True,8,38,1.5,70,35,0.1,0.1,3,4,1
SOLUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,8,10,1.5,75,20,0.12,0.2,1,4,4
SOLUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,28,10,2.2,80,35,0.2,0.2,3,4,4
SOLUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,18,10,1.5,70,30,0.2,0.3,3,5,2
SOLUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,True,10,10,1.8,70,30,0.1,0.2,2,6,1
SOLUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,22,28,2.0,80,30,0.08,0.25,9,11,3
SOLUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,18,18,2.0,80,20,0.12,0.15,8,6,3
SOLUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,8,28,1.8,65,35,0.2,0.3,11,11,1
SOLUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,22,26,2.5,60,35,0.12,0.2,1,7,5
SOLUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,8,14,2.2,80,25,0.2,0.1,1,7,5
