Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
SOLUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.502254992000013,6,83.33333333333334,True,18,34,1.5,75,35,0.05,0.2,2,4,5
SOLUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,8,38,1.5,80,20,0.1,0.1,2,7,2
SOLUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,38,1.8,80,35,0.05,0.3,4,4,1
SOLUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.0049953040000004,1,100.0,True,8,18,1.5,75,35,0.15,0.3,2,4,2
SOLUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,14.65589774799998,2,100.0,True,10,20,1.8,65,35,0.12,0.1,1,4,3
SOLUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,12,34,2.2,65,35,0.08,0.2,1,4,3
SOLUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,12,32,1.5,65,25,0.12,0.15,1,4,1
SOLUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.528427719999997,2,50.0,True,8,32,1.5,65,35,0.2,0.25,2,4,3
SOLUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,8,12,2.0,80,30,0.1,0.25,1,8,2
SOLUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,14,24,2.0,80,35,0.08,0.3,1,14,1
SOLUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,8,18,1.5,75,30,0.05,0.3,3,4,4
SOLUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.023504975999999456,1,0.0,True,18,38,2.0,80,35,0.08,0.25,5,4,5
SOLUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.7974551879999856,2,100.0,True,16,14,1.8,65,25,0.08,0.2,2,4,1
SOLUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.036245599999999,1,100.0,True,16,38,1.5,65,30,0.12,0.1,2,5,3
SOLUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-5.5153811240000294,1,0.0,True,10,36,1.5,65,25,0.1,0.15,1,4,3
SOLUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-21.19261400399999,2,0.0,True,12,36,1.5,65,35,0.12,0.1,1,4,1
SOLUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,28,36,1.5,70,35,0.15,0.2,1,4,4
SOLUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.5015536880000013,2,50.0,True,8,32,1.8,75,25,0.08,0.2,2,4,5
SOLUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,8,32,1.5,80,25,0.12,0.3,3,4,1
SOLUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.3098096000000115,1,0.0,True,24,32,1.5,60,30,0.1,0.15,3,4,2
SOLUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,24,32,1.5,80,30,0.1,0.1,3,4,2
SOLUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.4226407999999626,1,100.0,True,12,32,1.5,60,35,0.08,0.25,6,4,1
SOLUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,True,12,36,2.5,60,30,0.1,0.1,9,10,1
SOLUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,True,26,16,1.5,60,15,0.05,0.3,9,4,2
SOLUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.2613077599999958,1,0.0,True,10,22,2.2,75,25,0.12,0.1,6,8,1
SOLUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.027270280000004,1,100.0,True,8,26,1.8,70,20,0.15,0.15,4,4,2
SOLUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,18,28,1.5,65,35,0.12,0.25,6,5,2
