Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
XRPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.8207362183999782,3,100.0,True,16,36,1.5,65,35,0.1,0.15,2,4,4
XRPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,8,26,1.5,70,35,0.05,0.1,2,4,2
XRPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,14,1.8,70,35,0.05,0.3,2,4,3
XRPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,16,32,2.5,60,30,0.2,0.2,2,7,1
XRPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.132829184800002,1,100.0,True,10,34,2.0,65,25,0.08,0.2,2,4,1
XRPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.7940423555999896,3,66.66666666666666,True,8,36,1.5,80,35,0.12,0.15,3,4,5
XRPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,12,32,1.8,75,35,0.12,0.15,2,4,2
XRPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.695825576799992,2,100.0,True,8,18,2.0,65,25,0.08,0.15,2,5,2
XRPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,8,34,1.5,60,35,0.1,0.1,4,4,4
XRPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,14,14,1.5,60,20,0.1,0.25,2,4,3
XRPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,14,18,2.0,60,30,0.1,0.3,2,4,3
XRPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.20437507199999594,1,100.0,True,10,18,1.8,70,30,0.08,0.3,3,4,1
XRPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,20,16,2.0,70,20,0.15,0.3,3,8,1
XRPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.8275920972000028,1,100.0,True,8,12,2.0,80,30,0.05,0.2,4,4,5
XRPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,8,26,2.5,75,35,0.15,0.1,2,4,5
XRPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.7147315592000325,2,50.0,True,8,14,1.5,80,35,0.1,0.15,2,5,2
XRPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,14,38,1.5,70,30,0.05,0.25,5,5,3
XRPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,True,22,38,2.0,80,30,0.08,0.3,3,7,1
XRPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,26,38,1.8,75,30,0.1,0.15,4,8,3
XRPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.457846444800003,2,50.0,True,22,38,1.5,60,30,0.05,0.3,8,4,3
XRPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,22,38,1.5,60,25,0.2,0.25,5,4,2
XRPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.5876830607999928,1,100.0,True,24,38,1.5,60,30,0.05,0.1,4,4,3
XRPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.1117434659999814,3,66.66666666666666,True,18,18,1.5,70,20,0.12,0.1,1,6,5
XRPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-11.803910006800011,3,0.0,True,24,38,1.8,75,35,0.15,0.2,8,4,1
XRPUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,26,34,1.5,75,30,0.12,0.2,1,4,2
XRPUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,True,26,38,2.0,65,35,0.1,0.25,3,9,3
XRPUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,10,28,1.5,60,35,0.08,0.3,3,11,3
