Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
XRPUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.1104053824000175,3,66.66666666666666,True,8,38,2.0,60,35,0.08,0.2,2,4,1
XRPUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,8,26,1.5,70,35,0.08,0.2,2,4,1
XRPUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.6072715656000094,1,100.0,True,8,38,1.5,70,35,0.15,0.2,2,4,5
XRPUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,10,24,1.8,60,35,0.1,0.1,2,4,3
XRPUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.5367902040000185,2,100.0,True,8,36,1.5,65,20,0.05,0.15,2,4,2
XRPUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,4.138593139200042,3,100.0,True,8,28,1.5,80,25,0.08,0.2,3,4,2
XRPUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.0209201407999968,2,100.0,True,12,34,1.5,60,35,0.08,0.15,3,4,1
XRPUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.7345224664000125,2,50.0,True,28,38,1.5,60,35,0.12,0.15,2,4,1
XRPUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,28,34,1.8,80,35,0.12,0.2,2,10,3
XRPUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,8,36,1.5,80,30,0.08,0.2,3,4,2
XRPUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,18,38,1.8,60,30,0.1,0.2,3,5,3
XRPUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.7460115780000054,1,100.0,True,8,34,1.5,65,35,0.1,0.2,4,4,1
XRPUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,22,28,3.0,70,25,0.1,0.2,2,8,5
XRPUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.6392856499999997,1,100.0,True,8,32,2.0,60,35,0.12,0.15,3,4,3
XRPUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,16,30,1.5,80,30,0.2,0.15,2,4,5
XRPUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.4427933523999625,3,33.33333333333333,True,8,28,1.8,80,35,0.05,0.25,2,4,3
XRPUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,10,34,1.8,65,35,0.12,0.3,2,4,3
XRPUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.7097840019999921,2,100.0,True,22,26,1.5,60,35,0.08,0.25,2,4,5
XRPUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.321734563999999,1,100.0,True,14,38,1.8,70,30,0.12,0.25,2,4,2
XRPUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.4372132984000094,1,100.0,True,18,34,2.2,60,35,0.05,0.2,2,4,3
XRPUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,24,36,1.5,65,20,0.08,0.3,2,4,2
XRPUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.9434062151999933,1,100.0,True,8,38,1.5,60,35,0.05,0.25,4,4,3
XRPUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-32.77399925919996,4,25.0,True,10,38,1.8,65,25,0.08,0.3,2,4,4
XRPUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-10.651723420000037,2,0.0,True,22,32,2.0,75,25,0.08,0.3,3,4,1
XRPUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,True,12,36,1.5,60,20,0.08,0.25,11,7,3
XRPUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,4.00417871080001,3,100.0,True,16,34,1.5,80,35,0.2,0.15,11,4,1
XRPUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,8,26,1.5,80,30,0.12,0.15,4,6,3
