Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
BNBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.619909840000105,20,30.0,False,47,29,24,18,48,False
BNBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,False,34,19,15,13,57,False
BNBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.302053200000011,19,47.368421052631575,False,32,28,54,34,43,False
BNBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.4143257199998915,21,61.904761904761905,False,20,56,22,39,52,False
BNBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,20.268640119999937,16,50.0,False,20,54,6,39,47,False
BNBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,3.515476719999966,11,63.63636363636363,False,37,54,45,25,56,False
BNBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.712640399999978,12,41.66666666666667,False,43,48,54,9,49,False
BNBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-6.692205000000051,14,28.57142857142857,False,44,42,55,21,51,False
BNBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.0931270399999775,10,40.0,False,43,36,59,36,54,False
BNBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.9088667599999294,21,38.095238095238095,False,44,13,52,38,50,False
BNBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.09545023999995017,26,42.30769230769231,False,46,23,5,38,50,False
BNBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.3882682800000525,9,22.22222222222222,False,58,13,44,23,38,True
BNBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,14,40,31,7,40,False
BNBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-5.870871239999942,15,33.33333333333333,False,58,56,15,7,30,False
BNBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,False,46,32,20,9,38,False
