Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
BNBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-12.995868799999988,38,31.57894736842105,False,59,41,14,29,31,False
BNBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.018108239999931,18,44.44444444444444,False,5,5,15,21,45,True
BNBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.13945412000000434,7,42.857142857142854,False,53,21,32,7,38,True
BNBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,14.917399280000087,27,74.07407407407408,False,5,11,15,7,38,True
BNBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,14.590336199999921,30,33.33333333333333,False,58,54,27,28,45,False
BNBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.8059429600000731,36,41.66666666666667,False,47,22,54,34,36,False
BNBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,False,44,32,55,11,59,False
BNBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,False,58,45,45,6,50,False
BNBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.429234679999939,28,35.714285714285715,False,57,45,33,33,47,False
BNBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-7.446476159999915,38,39.473684210526315,False,57,34,10,22,56,False
BNBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-5.174296679999957,42,26.190476190476193,False,57,51,5,18,43,False
BNBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-13.715305360000107,26,30.76923076923077,False,57,42,10,20,51,False
BNBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,9,32,57,7,41,False
BNBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-11.812980000000318,69,36.231884057971016,False,9,16,29,13,54,False
