Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
DOGEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,False,22,24,26,5,49,True
DOGEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,False,59,35,13,12,47,False
DOGEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,False,54,55,9,20,38,False
DOGEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,False,15,27,25,37,49,False
DOGEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,False,48,55,28,19,39,False
DOGEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-2.5168971680400554,25,40.0,False,38,8,49,21,56,False
DOGEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,False,47,26,15,32,44,False
DOGEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,20.668784719359977,45,62.22222222222222,False,43,15,33,18,30,False
DOGEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.7524753557599295,27,51.85185185185185,False,44,32,35,19,31,False
DOGEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,False,29,42,48,26,32,False
DOGEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.010920268720051,12,58.333333333333336,False,46,19,15,14,37,False
DOGEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.495442788359903,34,58.82352941176471,False,50,21,47,15,33,False
DOGEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.3605430945200272,7,42.857142857142854,False,38,13,50,24,40,False
