Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
NEARUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,False,39,45,11,17,30,False
NEARUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.1449277239999907,5,20.0,False,9,9,11,28,58,False
NEARUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.831157148000131,10,70.0,False,59,7,50,30,30,False
NEARUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,False,47,23,48,6,38,False
NEARUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.190465655999943,7,57.14285714285714,False,12,39,59,30,59,False
NEARUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.0976002999999892,2,50.0,False,49,45,55,10,32,False
NEARUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-7.751527376000089,22,31.818181818181817,False,58,5,15,34,41,False
NEARUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-0.01713151999997997,14,50.0,False,59,6,19,38,40,False
NEARUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,7.677925823999976,20,50.0,False,9,9,32,9,30,True
NEARUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.109553375999962,13,30.76923076923077,False,50,5,34,15,43,True
NEARUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,22,12,16,7,40,True
NEARUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-19.110070680000046,14,21.428571428571427,False,23,7,7,14,45,True
NEARUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-6.0766685279999955,21,47.61904761904761,False,26,40,8,28,59,True
NEARUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.549917443999885,14,42.857142857142854,False,32,18,20,38,47,True
