Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
XRPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,False,18,23,16,5,42,True
XRPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.819199232400184,25,36.0,False,21,29,9,14,37,False
XRPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.7441673191999851,19,31.57894736842105,False,23,7,55,33,35,False
XRPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-5.5924717976000515,9,22.22222222222222,False,26,7,55,31,36,False
XRPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-5.36762935480003,10,40.0,False,32,9,45,22,34,False
XRPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,False,36,24,50,19,34,False
XRPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.270299472399786,25,44.0,False,10,56,20,19,31,True
XRPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,9.337108931599936,11,45.45454545454545,False,10,41,9,20,31,True
XRPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,False,18,39,59,10,37,True
XRPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.356447258000127,14,71.42857142857143,False,20,5,38,31,42,True
XRPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-3.271928778000033,17,29.411764705882355,False,57,29,47,19,30,True
XRPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,False,55,29,39,18,30,True
XRPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-3.9377605380002234,22,50.0,False,48,28,18,21,39,True
XRPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-10.374438111600137,11,45.45454545454545,False,14,12,48,25,42,True
XRPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,6.46400436159984,4,50.0,False,5,12,46,37,38,False
