Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
XRPUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.768497662800017,5,40.0,False,11,9,20,39,56,False
XRPUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,False,51,9,26,14,58,False
XRPUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-8.18112893880003,57,45.614035087719294,False,19,11,24,7,58,False
XRPUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.5525676640001032,17,29.411764705882355,False,49,8,33,25,42,False
XRPUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,False,50,50,37,28,31,False
XRPUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,False,58,34,32,20,37,False
XRPUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.3117311920000105,26,46.15384615384615,False,17,36,59,12,30,False
XRPUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.912389445599999,24,41.66666666666667,False,59,12,55,21,34,True
XRPUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,False,7,42,30,23,33,False
XRPUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,False,9,20,30,13,54,False
XRPUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,58,36,30,8,47,True
XRPUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.7100840872002485,26,57.692307692307686,False,14,14,5,28,37,False
XRPUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-5.657681898399936,37,35.13513513513514,False,50,27,57,18,37,True
