Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
1000PEPEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.312295167018023,4,75.0,6,44,66,8,16,40,False
1000PEPEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.274974813755195,10,60.0,10,58,56,5,20,34,False
1000PEPEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-6.222802198708399,10,80.0,18,62,56,8,36,12,False
1000PEPEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,8.201056104902339,50,76.0,22,24,44,3,78,76,False
1000PEPEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,41.18638352041166,39,89.74358974358975,14,18,50,5,78,26,False
1000PEPEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.25731983093240096,3,66.66666666666666,4,16,78,4,76,68,False
1000PEPEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-6.620219733884403,1,0.0,4,70,64,5,64,48,False
1000PEPEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-19.68712344308998,3,0.0,6,28,68,4,44,42,False
1000PEPEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,17.156902474077242,3,66.66666666666666,8,50,66,7,54,38,False
1000PEPEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.3242051351095916,2,50.0,6,26,68,3,22,12,False
1000PEPEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,27.369134739694022,19,84.21052631578947,4,6,82,4,26,26,False
1000PEPEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.20428286183151734,23,82.6086956521739,8,10,68,6,18,68,False
1000PEPEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,5.045051178330429,7,57.14285714285714,18,46,58,4,14,52,False
1000PEPEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-11.946798787753233,5,60.0,8,22,66,9,62,14,False
1000PEPEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,13.419669820202419,9,77.77777777777779,18,56,58,9,54,44,False
1000PEPEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-15.38634044881081,12,50.0,12,16,64,5,40,46,False
1000PEPEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5093294134260073,9,77.77777777777779,12,10,74,4,44,68,True
1000PEPEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.1072254675315909,1,0.0,18,30,68,6,42,30,True
1000PEPEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.758686219208804,7,85.71428571428571,18,12,72,5,30,74,True
1000PEPEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.907717630529616,8,87.5,18,14,66,2,20,56,True
1000PEPEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,6.789486146038026,28,85.71428571428571,10,22,56,6,6,38,False
1000PEPEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.1118432448972815,39,79.48717948717949,10,30,50,8,50,68,False
1000PEPEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,13.791984192813644,72,70.83333333333334,10,14,46,3,32,60,False
1000PEPEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.39461098713044,18,88.88888888888889,14,36,56,5,6,50,False
1000PEPEUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,19.614135311881608,13,84.61538461538461,6,54,58,5,56,34,False
1000PEPEUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-15.673327882086419,8,62.5,12,32,60,6,66,62,False
1000PEPEUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-2.0165997336783925,12,66.66666666666666,18,40,56,5,64,24,False
1000PEPEUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-15.651608292433572,12,50.0,22,56,54,4,46,48,False
1000PEPEUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-14.367720407016426,8,62.5,6,16,68,6,64,42,False
1000PEPEUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.5787661322651987,3,100.0,22,62,56,3,60,52,True
