Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
1000SHIBUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-5.769363199388023,5,60.0,10,58,60,5,8,72,False
1000SHIBUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.9103917471320111,5,60.0,12,40,62,5,8,58,False
1000SHIBUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.6943902143639491,7,71.42857142857143,14,78,58,8,40,48,False
1000SHIBUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.3183789419960235,2,50.0,18,64,60,9,36,56,False
1000SHIBUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,34.161965042203946,102,61.76470588235294,4,68,54,7,48,20,False
1000SHIBUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.622644361204001,4,25.0,6,26,68,3,6,76,False
1000SHIBUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.25977086067199284,13,76.92307692307693,8,20,62,8,72,46,False
1000SHIBUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-0.02011754507595942,20,90.0,6,12,68,9,12,28,False
1000SHIBUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.8065789104761079,17,70.58823529411765,14,22,58,9,16,26,False
1000SHIBUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.6815843311440482,17,76.47058823529412,10,20,60,8,58,76,False
1000SHIBUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.852149602907984,8,75.0,4,16,74,3,58,24,True
1000SHIBUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.22203711226391754,10,60.0,20,20,60,9,58,24,False
1000SHIBUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.351968619859935,21,71.42857142857143,12,50,52,2,12,42,True
1000SHIBUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-8.305746300548012,21,90.47619047619048,20,34,52,9,52,46,False
1000SHIBUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.4773595995400512,30,83.33333333333334,18,16,54,8,54,52,False
1000SHIBUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.079304937964046,93,55.91397849462365,10,18,46,7,8,16,False
1000SHIBUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0472777473279784,10,50.0,18,48,52,8,68,40,True
1000SHIBUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.36697593512797777,9,88.88888888888889,14,52,52,7,38,32,True
1000SHIBUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.07316487074400246,3,33.33333333333333,14,50,56,2,66,26,True
1000SHIBUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.9215084513439997,2,50.0,8,74,50,2,16,12,True
1000SHIBUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,4.454631555671984,24,87.5,4,8,72,7,64,74,False
1000SHIBUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.300851892760014,2,100.0,22,72,60,2,28,60,True
1000SHIBUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,19.25581797948408,12,83.33333333333334,12,10,76,7,52,30,False
1000SHIBUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,20.071043909588006,41,87.8048780487805,4,14,64,6,42,14,False
1000SHIBUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,5.365386873287981,10,80.0,16,10,74,5,58,72,False
1000SHIBUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-12.130694794736009,9,66.66666666666666,16,40,58,6,28,36,False
1000SHIBUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.5502347711879518,10,80.0,20,46,58,5,54,28,False
1000SHIBUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-7.622090104511992,4,50.0,14,8,84,7,76,68,False
1000SHIBUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-18.063351691972073,17,64.70588235294117,20,6,70,5,56,34,False
1000SHIBUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.20210144981205325,47,70.2127659574468,18,4,52,9,24,50,False
