Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
1000SHIBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.800777067196026,4,50.0,6,16,70,4,22,10,False
1000SHIBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.4467751476160418,4,50.0,4,68,54,6,6,68,False
1000SHIBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.7301375045639436,14,64.28571428571429,4,28,58,5,36,16,False
1000SHIBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.6765459887759784,1,0.0,4,12,74,7,62,28,False
1000SHIBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,24.49463412624788,24,79.16666666666666,4,16,56,6,28,62,False
1000SHIBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-9.681209637751987,1,0.0,4,12,74,4,56,66,True
1000SHIBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.7788323004080073,15,73.33333333333333,4,6,62,6,22,42,False
1000SHIBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.896218173544003,5,40.0,6,16,64,4,48,10,False
1000SHIBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.2795693867319935,3,66.66666666666666,4,16,66,4,32,70,True
1000SHIBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.4702107865760095,38,63.1578947368421,4,74,46,8,56,66,False
1000SHIBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.2143014691999965,6,83.33333333333334,12,14,56,9,10,44,False
1000SHIBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.0625220022520345,10,80.0,16,74,46,4,14,50,False
1000SHIBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.7622821874480286,7,100.0,16,38,50,9,52,42,False
1000SHIBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,6.875067942575996,13,61.53846153846154,16,40,48,9,70,60,False
1000SHIBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.23634734689199632,5,60.0,6,14,60,3,68,62,True
1000SHIBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.25722604630799006,1,0.0,18,60,60,9,20,54,True
1000SHIBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.9355877519920064,7,57.14285714285714,10,42,50,2,18,68,True
1000SHIBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.34323017693200786,3,100.0,8,54,48,5,10,24,True
1000SHIBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.677064447227993,3,33.33333333333333,18,8,78,8,66,60,True
1000SHIBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.6302565909719902,4,50.0,18,38,54,8,34,72,False
1000SHIBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.5144879510600404,5,80.0,12,8,62,2,20,58,True
1000SHIBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-5.656596938559999,2,50.0,8,14,68,3,22,56,True
1000SHIBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,16.314109885579974,21,100.0,8,10,50,4,40,26,False
1000SHIBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,10.012618121896,4,100.0,8,72,56,5,64,44,False
1000SHIBUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-4.956694402367978,1,0.0,6,72,56,6,64,16,False
1000SHIBUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-3.5177053231639888,1,0.0,8,64,56,6,14,70,False
1000SHIBUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.5146909020280486,15,86.66666666666667,6,32,54,6,18,30,False
1000SHIBUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.782337673199975,14,64.28571428571429,6,6,56,6,60,78,False
1000SHIBUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.749347905223981,5,40.0,8,10,64,2,78,34,True
1000SHIBUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.2825659749200238,6,66.66666666666666,14,58,50,2,60,70,True
