Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
AAVEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-5.858173919999976,2,50.0,8,32,60,4,26,50,False
AAVEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.077475320000047,2,0.0,4,16,70,7,46,36,False
AAVEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.9974155199999677,4,75.0,12,52,56,6,22,48,False
AAVEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,7.925668480000003,5,100.0,18,76,54,3,12,20,False
AAVEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.6430489999999685,27,70.37037037037037,6,76,54,4,72,78,False
AAVEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-6.162507199999978,8,75.0,8,10,62,2,42,34,False
AAVEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.504935959999989,2,100.0,10,54,56,3,46,12,False
AAVEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-26.682423600000014,6,50.0,4,22,58,4,74,50,False
AAVEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.2605396400000153,5,80.0,6,34,58,2,20,40,True
AAVEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.3183111600000075,12,75.0,6,6,62,3,42,52,False
AAVEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.9029272000000033,7,85.71428571428571,12,14,52,2,62,56,True
AAVEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.90258112000005,8,75.0,12,54,48,1,64,68,False
AAVEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.3140439599999434,18,55.55555555555556,6,10,46,2,66,70,True
AAVEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,23.44728032000003,5,80.0,6,12,74,2,62,50,True
AAVEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,6.856475839999976,5,80.0,18,48,50,1,6,76,False
AAVEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-9.230804520000003,4,75.0,4,16,64,2,12,46,False
AAVEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,11.168275800000039,7,85.71428571428571,10,6,68,1,76,34,True
AAVEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,4.538718919999951,2,50.0,4,18,68,9,68,14,False
AAVEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.016796879999962,10,70.0,4,8,68,2,76,52,False
AAVEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-5.670725920000008,1,0.0,22,36,58,3,44,22,False
AAVEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,16.381257640000047,6,83.33333333333334,8,50,60,1,34,32,False
AAVEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-6.84615044000002,6,83.33333333333334,18,20,54,4,16,12,False
AAVEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.735801800000003,3,33.33333333333333,14,14,68,1,58,24,False
AAVEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.189542,4,75.0,20,6,80,6,68,18,False
AAVEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,20.701248719999988,4,75.0,14,10,72,6,62,58,False
AAVEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-3.2391400400000547,4,25.0,10,8,74,4,70,26,False
AAVEUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-9.84037848,2,50.0,4,30,64,4,76,44,False
AAVEUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,28.0719352,5,80.0,10,66,56,1,28,22,False
AAVEUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-4.73216599999996,7,57.14285714285714,6,6,78,2,70,12,False
AAVEUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.4189298400000041,3,66.66666666666666,4,36,60,1,12,58,True
