Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
AAVEUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,22,10,80,1,28,78,False
AAVEUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.410678240000014,2,0.0,12,60,58,5,26,28,False
AAVEUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.15184919999999824,5,60.0,16,70,56,8,50,62,False
AAVEUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,10.641725599999985,6,83.33333333333334,16,76,56,5,72,44,False
AAVEUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.900622400000001,23,91.30434782608695,12,10,58,6,22,28,False
AAVEUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-6.121103479999979,5,80.0,12,66,56,3,50,52,False
AAVEUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.794320399999986,15,93.33333333333333,16,16,54,5,50,74,False
AAVEUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-13.698122400000013,14,64.28571428571429,18,8,60,2,20,18,False
AAVEUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-7.417153919999963,10,60.0,18,8,66,1,20,12,False
AAVEUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-5.423984679999883,36,52.77777777777778,6,18,52,2,10,24,False
AAVEUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.8422035200000177,4,50.0,8,28,58,1,4,56,False
AAVEUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.1829108800000006,12,75.0,20,16,54,2,50,46,False
AAVEUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.4085419199999736,16,87.5,8,54,54,2,26,38,True
AAVEUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.0017562000000368,17,88.23529411764706,8,20,58,2,44,40,True
AAVEUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.0727490400000206,5,40.0,20,32,58,2,8,38,False
AAVEUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.117648000000006,4,50.0,10,12,74,2,34,52,False
AAVEUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,27.913978560000107,20,85.0,6,32,60,2,26,26,False
AAVEUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,13.253206800000017,15,66.66666666666666,6,20,62,3,56,44,False
AAVEUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,7.8067522,17,76.47058823529412,6,26,62,4,26,34,False
AAVEUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-14.08465440000002,1,0.0,6,30,66,1,14,14,False
AAVEUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.9133955600000316,4,75.0,18,18,68,3,50,14,False
AAVEUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-5.0994437600000335,3,66.66666666666666,20,14,72,6,18,64,False
AAVEUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,9.110085399999978,6,83.33333333333334,6,22,66,9,42,32,False
AAVEUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,18.316559040000023,7,85.71428571428571,22,32,58,7,78,38,False
AAVEUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,7.9554971600000135,3,66.66666666666666,16,20,70,5,8,44,False
AAVEUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-12.408297599999985,17,47.05882352941176,4,26,60,2,48,56,False
AAVEUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-4.523497080000016,3,66.66666666666666,12,8,82,2,50,68,False
AAVEUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,19.763686320000005,8,87.5,8,14,68,3,78,50,False
AAVEUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-17.610851279999984,2,50.0,8,48,60,1,26,42,False
AAVEUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.7730503199999914,3,66.66666666666666,4,26,64,2,52,30,False
