Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
ADAUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-2.201306307599993,3,66.66666666666666,6,38,60,5,36,58,False
ADAUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.601978877599999,1,0.0,8,46,60,3,40,46,False
ADAUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.024460681600006,5,80.0,10,44,58,6,30,30,False
ADAUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.31509918679999416,2,50.0,18,24,60,3,34,12,False
ADAUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.199449198800002,5,80.0,8,28,64,5,22,50,False
ADAUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.519903164800002,2,50.0,8,38,62,3,50,50,False
ADAUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.736539561200013,1,0.0,6,46,60,5,48,66,True
ADAUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.28068631320002,3,66.66666666666666,10,18,66,4,74,50,True
ADAUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.001160267199986,9,77.77777777777779,16,24,50,5,16,10,False
ADAUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.0585162200000053,1,0.0,6,56,56,4,20,58,True
ADAUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.9371957512000382,10,60.0,8,4,60,6,50,78,False
ADAUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.374175028399982,14,64.28571428571429,16,44,48,9,14,68,False
ADAUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.6878376024000099,3,66.66666666666666,18,8,64,5,26,64,False
ADAUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.6445630479999824,5,80.0,14,36,52,8,18,60,False
ADAUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.085429044799998,5,60.0,18,36,52,6,42,42,False
ADAUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.015786045999989,9,77.77777777777779,14,32,48,5,62,74,False
ADAUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.22442748319996264,11,63.63636363636363,6,38,48,6,52,28,False
ADAUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.6844863336000317,23,39.130434782608695,14,50,46,4,18,48,False
ADAUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.1386963903999967,10,80.0,10,12,52,8,68,60,False
ADAUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.9355545407999442,11,90.9090909090909,20,22,48,7,32,26,False
ADAUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.6137307395999603,17,76.47058823529412,10,4,46,4,60,24,False
ADAUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.797100497600049,9,88.88888888888889,22,8,40,4,40,76,False
ADAUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,23.99697620400003,5,60.0,4,42,64,9,14,64,False
ADAUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.9631255939999916,1,0.0,4,54,64,6,42,60,False
ADAUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-12.497301769199998,1,0.0,6,30,64,3,72,20,False
ADAUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.5297431684000209,5,80.0,6,38,64,3,14,26,False
ADAUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-2.3267645040000007,1,0.0,4,52,62,8,38,16,False
ADAUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-22.450939933200043,4,75.0,12,22,56,6,36,48,False
ADAUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,4.1912510992,10,70.0,12,20,52,6,44,62,False
