Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
APTUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.477730344000009,3,33.33333333333333,8,46,60,3,20,68,False
APTUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.3786740920000087,2,0.0,12,32,60,5,44,40,False
APTUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.2450391400000056,2,50.0,10,44,60,6,32,16,False
APTUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.2169412559999695,6,33.33333333333333,4,68,56,6,4,20,False
APTUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.487148572000012,7,85.71428571428571,6,56,58,5,68,68,False
APTUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,35.39034315600003,4,75.0,4,22,66,3,36,74,False
APTUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-16.99752077200003,8,37.5,4,8,70,3,22,36,False
APTUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.950313108000048,4,50.0,6,58,54,2,24,24,False
APTUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.6689602040000056,18,77.77777777777779,4,20,56,2,6,30,False
APTUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.195644064000025,9,66.66666666666666,6,16,58,2,38,70,False
APTUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,7.193504907999992,4,75.0,16,12,64,3,12,50,False
APTUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.3572069640000137,5,40.0,6,12,58,2,28,56,True
APTUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.08074849599999379,1,0.0,18,12,42,6,6,78,True
APTUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.4864941960000007,3,66.66666666666666,16,4,76,3,58,60,False
APTUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.882983743999933,19,26.31578947368421,14,46,48,4,24,54,False
APTUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.68090708399997,5,60.0,14,16,58,5,58,76,False
APTUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-2.6517552159999624,5,80.0,18,28,48,2,70,66,False
APTUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-8.740743699999998,1,0.0,12,24,70,2,56,70,False
APTUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.2028415188000121,9,33.33333333333333,10,56,50,3,66,62,True
APTUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,8.244428118399982,1,0.0,8,66,60,4,18,40,True
APTUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.5349135772000375,5,60.0,6,36,62,2,4,24,False
APTUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-11.206351603600018,1,0.0,6,78,58,8,68,30,False
APTUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,13.140241420400024,20,70.0,8,60,52,2,62,58,False
APTUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,19.665423416799975,14,78.57142857142857,6,6,66,3,58,42,False
APTUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,13.13835676599997,4,75.0,6,58,56,3,62,18,False
APTUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-22.213760373199996,1,0.0,6,68,54,3,58,30,False
APTUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.564298524400035,8,75.0,8,4,74,4,44,68,False
APTUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,12.933988662000019,7,71.42857142857143,22,12,58,2,24,16,False
APTUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-2.2819267899999995,9,88.88888888888889,18,22,50,2,78,40,False
APTUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.3453396687999941,25,72.0,12,64,44,8,70,48,False
