Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
APTUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,11.501485728000006,5,40.0,6,38,64,5,12,48,False
APTUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.19011402000002064,2,0.0,18,62,58,4,28,46,False
APTUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,6.770546907999986,3,66.66666666666666,22,46,60,6,34,12,False
APTUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.829168379999983,10,70.0,4,54,58,3,64,36,False
APTUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.022267176000009,13,61.53846153846154,4,74,58,7,74,34,False
APTUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,37.89882383600003,4,75.0,10,46,60,4,44,36,False
APTUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-17.944281063999956,14,42.857142857142854,8,76,54,4,34,48,False
APTUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-23.776470888000024,3,33.33333333333333,6,54,58,6,42,38,False
APTUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.2540203799999095,12,66.66666666666666,14,52,52,2,50,22,False
APTUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.04975910399995,27,55.55555555555556,4,42,54,3,44,30,False
APTUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.735179596000006,8,87.5,18,4,86,4,76,38,False
APTUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.2899425400000135,8,62.5,22,14,58,3,32,36,False
APTUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.4169591359999947,5,40.0,18,60,50,3,48,48,True
APTUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.1414452839999756,11,81.81818181818183,12,70,50,2,32,74,True
APTUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.439451115999903,43,65.11627906976744,14,68,48,4,12,44,False
APTUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-21.03575243600002,13,53.84615384615385,16,38,52,4,20,14,False
APTUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.09316303999999942,1,100.0,20,20,46,2,42,52,True
APTUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.32920166799998984,2,100.0,20,6,54,3,6,58,True
APTUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5273252047999888,30,60.0,22,20,44,4,32,26,False
APTUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,6.380427255200005,1,0.0,4,70,64,9,42,68,False
APTUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.0627972039999785,14,85.71428571428571,10,10,62,3,76,34,False
APTUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-21.52763290239996,8,62.5,12,40,54,3,36,70,False
APTUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,17.453441187999964,16,93.75,12,10,62,5,52,64,False
APTUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,21.296770665600008,13,76.92307692307693,12,8,70,3,58,76,False
APTUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.3055725476000193,8,62.5,12,8,70,2,28,14,False
APTUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-31.459316191600006,1,0.0,8,74,54,2,74,32,False
APTUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.6263960431999838,11,81.81818181818183,14,8,70,2,78,34,False
APTUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.440180986799966,16,68.75,18,4,68,4,64,56,False
APTUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.808185491600053,13,76.92307692307693,16,8,64,3,44,64,False
APTUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.125863986799992,7,42.857142857142854,18,12,64,3,50,72,False
