Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
ARBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,26.594599555599995,5,80.0,6,28,64,5,24,34,False
ARBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.4554129631999757,2,50.0,10,26,64,5,12,78,False
ARBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.595724325600024,19,57.89473684210527,8,38,52,3,70,16,False
ARBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-4.3706139651999765,7,71.42857142857143,6,12,64,5,48,52,False
ARBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.491407967200003,2,50.0,8,36,62,5,50,42,False
ARBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.90870254159999,1,0.0,16,32,60,2,70,22,False
ARBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.5411989504000356,16,68.75,14,4,48,4,32,38,False
ARBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.676762871599964,11,72.72727272727273,20,26,44,6,58,66,False
ARBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.9739596871999545,8,50.0,6,36,50,3,42,24,True
ARBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.2021869123999718,11,63.63636363636363,4,12,56,2,22,24,True
ARBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.6035788711999834,7,28.57142857142857,6,32,44,5,50,20,True
ARBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.6515122843999697,17,76.47058823529412,8,66,46,9,68,52,False
ARBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.24624449200008058,21,47.61904761904761,6,64,46,5,24,66,False
ARBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.7519585547999936,7,42.857142857142854,8,56,48,5,60,28,True
ARBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.1419559432000117,3,66.66666666666666,14,78,52,5,44,74,True
ARBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.7255795568000045,2,50.0,16,28,58,3,6,64,True
ARBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.8745246880000002,1,0.0,16,8,44,2,72,64,True
ARBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.20216014920000358,3,66.66666666666666,10,6,62,4,48,74,True
ARBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.6493292892000069,7,42.857142857142854,14,40,50,3,48,68,True
ARBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.590204247200003,3,33.33333333333333,8,60,56,4,46,62,True
ARBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.12398973600006302,18,44.44444444444444,14,70,40,8,12,66,False
ARBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.5079928424000215,3,33.33333333333333,6,6,76,2,42,22,True
ARBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.8540005787999414,16,75.0,10,6,42,3,50,18,False
ARBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,16.677910837200006,4,75.0,8,64,58,7,26,72,False
ARBUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-3.326047347200023,4,50.0,4,58,58,3,74,64,True
ARBUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.230467633199986,1,0.0,10,44,60,3,68,66,True
ARBUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-4.832288507600002,14,85.71428571428571,10,4,62,4,74,38,False
ARBUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-4.3929179403999985,3,66.66666666666666,4,48,58,4,42,50,True
ARBUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-18.716018613599992,10,80.0,10,4,64,5,56,40,False
ARBUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.639814007199969,6,83.33333333333334,14,72,50,2,64,48,True
