Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
ARBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,20.988427508399997,5,80.0,14,60,60,6,36,26,False
ARBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.073180985200013,2,0.0,10,44,62,6,12,14,False
ARBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.3493582752000206,8,75.0,16,20,64,7,26,74,False
ARBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-5.267779528400041,6,50.0,16,22,62,4,46,22,False
ARBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.368827851999992,3,66.66666666666666,4,48,62,6,8,48,False
ARBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-12.834515936800017,3,66.66666666666666,10,20,64,4,50,30,False
ARBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.893387438399987,4,50.0,16,18,64,4,74,18,False
ARBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-19.823479375999998,25,68.0,16,4,50,3,56,48,False
ARBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.0533987404000595,21,57.14285714285714,16,20,44,9,38,76,False
ARBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.3275794576001134,16,81.25,10,10,62,8,64,44,False
ARBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.412024074800012,6,66.66666666666666,10,72,54,2,40,36,True
ARBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.421796002399994,6,50.0,12,52,52,2,30,34,True
ARBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.702832603200032,5,60.0,22,12,60,3,72,70,True
ARBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.4577007743999504,14,50.0,8,74,50,7,24,28,True
ARBUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.5163195991999991,10,80.0,12,12,52,6,76,56,True
ARBUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-9.168443578399987,9,33.33333333333333,10,26,54,2,76,28,True
ARBUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.2232031992000172,7,71.42857142857143,18,74,48,4,56,56,True
ARBUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.3258155835999976,17,47.05882352941176,8,22,54,7,34,76,True
ARBUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.8880062303999976,10,60.0,12,12,64,3,46,76,True
ARBUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.1132330595999829,3,66.66666666666666,16,58,58,6,26,50,True
ARBUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.049941009999956,2,100.0,18,12,72,3,68,40,True
ARBUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.367176724800014,3,33.33333333333333,12,12,74,3,4,64,True
ARBUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.682346534000016,7,85.71428571428571,4,28,68,8,26,66,True
ARBUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,24.926236320400008,11,90.9090909090909,8,44,60,9,56,76,False
ARBUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,8.048430978799948,5,60.0,10,58,58,5,12,52,False
ARBUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-12.499933945599984,1,0.0,4,62,58,2,70,18,False
ARBUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-6.5176995867999405,30,80.0,4,74,58,3,36,72,False
ARBUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-0.6733013384000119,38,73.68421052631578,6,8,56,4,32,76,False
ARBUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-14.513318469199966,3,0.0,4,6,88,5,42,68,True
ARBUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.19538467719997232,6,66.66666666666666,14,8,52,7,10,44,True
