Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
ATOMUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.659509808000008,2,50.0,16,50,58,3,22,14,False
ATOMUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.569252684000004,4,25.0,8,10,70,2,6,36,False
ATOMUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.5796080240000112,3,66.66666666666666,18,24,58,6,38,56,False
ATOMUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.17674068799998,8,87.5,8,28,56,2,26,68,False
ATOMUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,11.702152247999976,5,80.0,16,12,68,5,32,54,False
ATOMUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-9.072482732000031,3,33.33333333333333,12,12,68,3,50,32,False
ATOMUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.119667184000031,4,50.0,18,8,72,2,4,46,False
ATOMUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.761952592000004,1,0.0,6,58,56,3,56,64,False
ATOMUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,9.343014411999961,4,75.0,10,38,58,2,52,52,False
ATOMUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.5100494320000157,3,33.33333333333333,4,8,78,9,14,74,True
ATOMUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.5620168799999714,4,50.0,12,8,56,2,26,74,True
ATOMUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.013654324000000884,3,33.33333333333333,10,64,50,4,22,54,True
ATOMUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.10984226000003705,3,66.66666666666666,18,74,50,6,4,62,True
ATOMUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.965156435999994,3,66.66666666666666,10,60,56,2,50,60,True
ATOMUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.3027161040000346,7,57.14285714285714,22,58,50,9,4,24,False
ATOMUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.5628621439999657,3,66.66666666666666,16,50,54,4,30,66,True
ATOMUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.5211506759999818,6,33.33333333333333,12,60,50,4,18,68,True
ATOMUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.7499097960000034,23,56.52173913043478,20,72,40,6,28,56,False
ATOMUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5365710839999593,19,47.368421052631575,8,66,52,4,44,76,True
ATOMUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.916222320000017,2,100.0,16,10,62,2,38,74,True
ATOMUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.9188336759999869,5,80.0,20,12,50,2,70,74,True
ATOMUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,14,12,56,2,70,64,True
ATOMUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.8864392399999588,9,66.66666666666666,16,4,48,2,28,54,False
ATOMUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.017327520000038,2,50.0,16,10,72,2,34,58,True
ATOMUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.9078366440000041,1,0.0,4,46,64,4,30,40,False
ATOMUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-13.388438671999992,1,0.0,6,78,58,2,42,66,False
ATOMUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-2.1797688079999933,3,66.66666666666666,4,8,80,3,62,26,False
ATOMUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-1.9617692159999756,17,64.70588235294117,4,10,56,2,30,58,True
ATOMUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-19.768509484000006,6,50.0,22,4,58,4,30,62,False
ATOMUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.6278221039999874,11,81.81818181818183,6,10,58,6,72,56,True
