Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
ATOMUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-10.66649211199998,7,28.57142857142857,4,38,60,2,16,56,False
ATOMUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-3.703448156000011,7,42.857142857142854,22,58,54,3,54,48,False
ATOMUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.3811313760000212,4,75.0,14,22,66,6,52,32,False
ATOMUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.662355559999942,9,88.88888888888889,22,58,54,3,4,14,False
ATOMUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,16.146710151999997,9,88.88888888888889,18,40,58,6,16,72,False
ATOMUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.820488359999986,4,50.0,22,48,56,5,24,20,False
ATOMUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.009998844000019,2,50.0,18,22,66,4,44,76,False
ATOMUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-17.560836835999993,18,72.22222222222221,22,4,52,2,22,54,False
ATOMUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.34297112399998,35,71.42857142857143,8,16,50,2,58,10,False
ATOMUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.980018124000074,35,71.42857142857143,8,8,52,2,64,14,False
ATOMUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.078989551999999,3,33.33333333333333,14,16,68,2,40,30,False
ATOMUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.29508405999996157,7,57.14285714285714,14,8,52,6,6,78,True
ATOMUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.49183931200004194,23,69.56521739130434,22,4,48,7,36,40,False
ATOMUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.574764255999996,5,40.0,18,36,54,3,6,66,True
ATOMUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.4292682799999623,8,62.5,8,58,56,3,6,40,True
ATOMUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.677910183999996,18,55.55555555555556,16,70,50,8,72,42,False
ATOMUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.5934662320000283,11,36.36363636363637,10,66,50,3,54,56,True
ATOMUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-6.488134847999993,1,0.0,10,36,62,8,60,46,True
ATOMUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5096989799999951,1,100.0,10,14,72,3,18,16,True
ATOMUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,12,30,66,4,30,20,True
ATOMUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.761690139999982,27,88.88888888888889,18,22,46,9,24,22,False
ATOMUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.4376795519999366,63,61.904761904761905,10,36,42,8,38,56,False
ATOMUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.7814172760000515,31,61.29032258064516,22,62,44,5,60,44,False
ATOMUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.56214321600011,25,72.0,16,22,46,2,46,74,False
ATOMUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.5902838879999983,1,0.0,6,78,60,4,20,42,False
ATOMUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-21.393608640000007,3,0.0,6,20,68,3,62,52,False
ATOMUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,2.120940019999984,9,88.88888888888889,12,52,60,3,32,34,False
ATOMUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-1.6157248000000068,1,0.0,4,32,66,2,54,60,True
ATOMUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-7.913922215999958,14,78.57142857142857,4,6,78,3,40,16,False
ATOMUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.1701117359999893,4,75.0,16,14,62,9,40,56,True
