Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
AVAXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.783272667999993,2,50.0,12,34,62,3,6,10,False
AVAXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.5088319080000088,4,50.0,8,26,64,7,78,48,False
AVAXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,7.3223575399999685,4,75.0,8,28,64,4,14,14,False
AVAXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-5.283108872000009,5,80.0,6,20,62,2,10,38,False
AVAXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,17.00707607200005,10,90.0,6,16,60,6,36,36,False
AVAXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.137200911999988,21,80.95238095238095,12,10,42,3,24,28,False
AVAXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.549526467999987,14,57.14285714285714,6,22,52,5,20,26,False
AVAXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-13.777665471999988,2,0.0,10,52,58,5,40,78,False
AVAXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.167007224000006,7,42.857142857142854,16,4,60,2,12,60,False
AVAXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.0367600640000196,6,83.33333333333334,6,8,66,2,78,74,True
AVAXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.19208109200000711,8,62.5,12,10,56,5,54,44,False
AVAXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.7421647639999538,4,0.0,4,78,54,9,30,42,True
AVAXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.003546483999983252,21,52.38095238095239,6,60,44,2,76,72,True
AVAXUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,12,38,56,1,24,36,True
AVAXUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.2643660399999552,9,55.55555555555556,16,56,52,8,76,14,False
AVAXUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,3.9281743199999886,3,33.33333333333333,12,72,48,1,14,40,True
AVAXUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.34456046399997664,5,60.0,10,14,54,7,38,70,True
AVAXUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.3109233680000063,1,0.0,10,76,56,8,58,38,True
AVAXUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.680795767999978,8,75.0,8,70,58,8,36,44,True
AVAXUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.627974956,3,66.66666666666666,6,34,62,8,74,34,True
AVAXUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.2193679400000175,3,66.66666666666666,8,72,58,5,44,36,True
AVAXUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-7.245232471999985,1,0.0,4,78,58,4,70,48,True
AVAXUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.203842920000023,6,66.66666666666666,20,28,50,4,52,34,False
AVAXUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,22.571575980000013,2,50.0,4,38,66,3,62,46,False
AVAXUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.9010604680000154,2,0.0,12,34,60,2,24,14,False
AVAXUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-17.60177717200002,1,0.0,12,38,60,6,76,46,False
AVAXUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-2.3615243399999652,8,75.0,4,44,62,4,58,48,False
AVAXUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-2.002137199999998,1,0.0,4,46,62,2,22,48,False
AVAXUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-17.648599896000018,1,0.0,4,66,58,8,28,16,False
AVAXUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.9308235479999603,8,87.5,4,42,56,9,70,22,True
