Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
AVAXUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.8655051200000217,2,50.0,4,78,60,2,22,48,True
AVAXUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.714100908000019,4,50.0,16,50,60,2,24,46,False
AVAXUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,10.090393151999955,6,83.33333333333334,16,58,60,5,66,38,False
AVAXUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-7.63695690399998,1,0.0,4,48,64,4,72,44,False
AVAXUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,16.796260808000028,4,75.0,6,18,70,2,16,48,False
AVAXUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.061615096000033,24,95.83333333333334,20,14,46,7,54,14,False
AVAXUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.8063787200000254,7,71.42857142857143,12,22,60,7,24,18,False
AVAXUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-22.602578827999984,13,61.53846153846154,20,8,50,2,64,46,False
AVAXUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.721378679999921,21,71.42857142857143,10,26,54,5,12,76,False
AVAXUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.660120184000027,15,80.0,8,14,60,3,10,76,False
AVAXUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.123562264000012,21,66.66666666666666,4,18,56,3,54,78,False
AVAXUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.948215079999953,18,55.55555555555556,12,26,50,3,8,14,False
AVAXUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.3875324119999366,8,62.5,14,60,50,2,32,48,True
AVAXUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.2433951999999877,2,50.0,12,32,62,3,44,72,True
AVAXUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.057667155999978,7,71.42857142857143,16,8,80,9,38,38,False
AVAXUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.43397442800001684,4,50.0,8,40,60,9,58,74,True
AVAXUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.0070286480000412,10,80.0,12,24,56,5,32,48,True
AVAXUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.6335008800000486,2,100.0,16,36,62,6,60,46,True
AVAXUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.0412115119999399,7,57.14285714285714,10,6,78,3,58,68,True
AVAXUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.599867264000002,4,75.0,12,76,58,2,40,38,True
AVAXUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.7810773599999932,1,100.0,16,40,62,5,38,40,True
AVAXUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-9.494918763999994,1,0.0,6,66,62,3,42,72,True
AVAXUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.511841916000003,24,70.83333333333334,10,8,48,3,10,62,False
AVAXUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,10.637189227999988,10,70.0,12,6,74,5,44,74,False
AVAXUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,14.50016728800001,2,50.0,4,38,66,7,34,40,False
AVAXUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-23.40493370400001,1,0.0,14,60,60,5,28,64,False
AVAXUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.7602771640000014,19,73.68421052631578,18,4,56,2,16,48,False
AVAXUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-4.233769076000026,4,75.0,12,54,60,7,74,14,False
AVAXUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-26.161812660000027,14,50.0,12,8,60,2,16,50,False
AVAXUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.6244204680000087,7,71.42857142857143,14,48,56,2,10,54,True
