Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
BNBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.6175236399999866,1,0.0,4,60,60,2,48,36,False
BNBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.3999840000000088,3,33.33333333333333,20,54,56,2,40,64,False
BNBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.0198828799999449,5,80.0,4,16,66,1,24,54,False
BNBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,9.238986560000018,12,75.0,4,56,60,3,66,24,False
BNBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,13.461873560000015,12,75.0,4,52,60,3,54,30,False
BNBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-6.454416839999999,3,33.33333333333333,4,48,66,1,10,28,True
BNBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.040095240000019,4,75.0,22,48,56,5,64,74,False
BNBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-5.328979840000015,1,0.0,8,76,60,2,4,78,False
BNBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.3793427200000097,1,0.0,4,24,68,1,36,70,False
BNBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.5416838400000086,1,0.0,6,30,60,1,12,36,False
BNBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.5066707199999918,2,100.0,20,24,60,4,72,64,False
BNBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-7.834522639999964,7,42.857142857142854,16,60,50,3,36,28,False
BNBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.8141546399999866,1,0.0,14,66,56,7,8,40,False
BNBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,6.595217119999974,5,100.0,20,28,54,6,38,58,False
BNBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.28283424000001833,7,42.857142857142854,6,66,56,7,66,54,True
BNBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.5511760800000154,1,0.0,6,62,60,8,48,30,True
BNBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.3757874000000161,7,71.42857142857143,8,64,58,6,56,42,True
BNBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-4.433000960000011,1,0.0,12,10,72,2,60,44,True
BNBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.31742883999998917,7,57.14285714285714,16,76,54,9,50,62,True
BNBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.991102399999999,1,0.0,10,30,62,2,20,58,True
BNBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.5620086800000044,3,66.66666666666666,6,50,60,5,52,58,True
BNBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.6529071999999765,2,50.0,8,78,56,2,62,68,True
BNBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,7.679687199999963,7,71.42857142857143,8,56,60,2,24,52,False
BNBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.355950199999995,9,77.77777777777779,8,14,62,1,72,16,False
BNBUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,1.9284281599999842,1,0.0,4,60,60,2,8,64,True
BNBUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,5.9783721599999895,4,75.0,18,54,56,1,48,14,False
BNBUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.3603278799999998,3,66.66666666666666,12,62,56,5,76,14,False
BNBUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-5.579798000000014,2,50.0,16,38,56,1,32,62,False
BNBUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-2.328739960000059,9,77.77777777777779,16,4,64,1,62,70,False
BNBUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.3770259200000181,2,0.0,20,50,56,1,42,54,False
