Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
BNBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.666239599999902,15,66.66666666666666,16,10,60,2,42,14,False
BNBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.6803104000000957,14,78.57142857142857,16,12,54,2,56,36,False
BNBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.1919437999999616,18,66.66666666666666,6,66,56,4,58,66,False
BNBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,16.048636599999956,10,90.0,6,34,64,1,76,22,False
BNBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,24.597654759999998,6,83.33333333333334,8,30,68,1,24,24,False
BNBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.050562439999992,3,66.66666666666666,4,18,74,1,48,16,False
BNBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.6413055599999717,3,66.66666666666666,6,38,66,2,76,54,False
BNBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.5824528400000037,1,0.0,8,74,62,2,44,60,False
BNBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.6929452800000244,1,0.0,12,10,80,2,34,62,False
BNBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.7536630399999873,1,0.0,4,62,64,2,44,32,False
BNBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.3873712000000094,4,50.0,14,44,60,2,54,60,False
BNBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.743096119999958,30,70.0,14,42,46,2,14,36,False
BNBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.1964545999999956,1,0.0,6,62,60,7,34,26,True
BNBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-11.86569860000002,39,51.28205128205128,14,26,40,1,36,44,False
BNBUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.4062551599999926,4,75.0,8,22,66,9,64,46,False
BNBUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.7537914400000085,2,50.0,6,10,80,5,66,62,True
BNBUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.7748678800000093,3,100.0,22,20,68,2,16,54,True
BNBUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.07853643999996551,3,33.33333333333333,6,10,80,9,56,60,True
BNBUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.84122083999996,6,83.33333333333334,6,14,74,5,46,64,True
BNBUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.429404680000058,8,75.0,14,18,62,1,24,48,True
BNBUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.5712710000000074,3,66.66666666666666,14,26,66,3,70,74,True
BNBUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.3709840799999937,2,50.0,4,76,60,4,6,34,True
BNBUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,10,24,60,1,32,12,False
BNBUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.703815679999982,7,71.42857142857143,8,14,68,2,22,34,False
BNBUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.26866004000001276,3,33.33333333333333,10,20,66,1,68,14,False
BNBUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,4.431001679999946,6,50.0,4,72,58,7,54,68,False
BNBUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.8497705599999628,4,75.0,14,76,56,3,60,20,False
BNBUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.11466064000000831,4,75.0,16,26,62,5,30,70,False
BNBUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.059611520000066,13,61.53846153846154,10,48,54,2,14,12,False
BNBUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.839033319999972,4,75.0,18,76,56,7,46,76,False
