Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
BTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,16,18,66,6,58,46,True
BTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,10,52,58,4,48,42,False
BTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,14,8,44,4,36,78,True
BTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,16,18,46,6,54,24,True
BTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,4,34,76,7,62,72,False
BTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,12,70,72,5,10,32,True
BTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,4,40,68,3,60,54,False
BTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,12,24,54,1,42,66,True
BTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,22,72,58,1,22,60,True
BTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,22,32,48,2,60,14,False
BTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,14,70,74,6,56,66,False
BTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,8,34,84,9,68,64,True
BTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,22,48,60,9,50,44,False
BTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,8,42,68,3,20,14,False
BTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,20,4,40,5,10,70,False
BTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,12,44,50,8,8,34,True
BTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,4,50,86,7,34,42,False
BTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,18,28,66,6,46,52,False
BTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,4,34,58,3,70,76,True
BTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,20,12,58,8,32,62,False
BTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,16,16,82,5,6,34,False
BTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,14,60,40,7,26,22,False
BTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,10,60,74,6,66,62,True
BTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,6,24,52,6,26,12,False
BTCUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,8,4,42,9,60,52,True
BTCUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,4,42,48,9,58,20,False
BTCUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,18,14,76,5,38,66,False
BTCUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,22,70,54,8,24,64,True
BTCUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.0,0,0,14,58,80,5,66,50,False
BTCUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,22,58,42,9,6,24,True
