Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
DOGEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-8.422545979439999,12,66.66666666666666,4,20,66,3,28,78,True
DOGEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.4783808200800173,13,76.92307692307693,4,20,66,8,36,64,False
DOGEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.7891092134400424,24,75.0,4,10,70,6,44,18,False
DOGEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.8055275686399863,6,83.33333333333334,22,40,60,7,8,54,False
DOGEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.474603731280016,50,60.0,16,54,50,6,18,30,False
DOGEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,11.77465374768001,5,60.0,10,44,64,4,38,46,False
DOGEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,7.104638071919989,9,77.77777777777779,6,60,62,5,16,42,False
DOGEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.073729780439987,2,0.0,6,62,62,3,8,46,True
DOGEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-6.764359142439991,2,0.0,16,28,68,4,38,40,False
DOGEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.48033904888001855,3,33.33333333333333,4,66,62,6,34,54,False
DOGEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.915840475639996,6,66.66666666666666,4,66,62,4,62,32,False
DOGEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.9526567062799973,6,66.66666666666666,14,26,64,8,66,52,False
DOGEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.500118068480071,36,66.66666666666666,20,4,64,7,42,36,False
DOGEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-5.559707712160034,13,76.92307692307693,12,26,56,3,68,46,True
DOGEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.06346565035997287,6,50.0,10,74,54,5,32,22,True
DOGEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.582956626039996,6,66.66666666666666,4,42,62,8,72,40,True
DOGEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.3959625871998949,28,78.57142857142857,20,18,52,9,26,30,False
DOGEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.46000733320000764,1,0.0,16,48,64,8,74,54,True
DOGEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.512287607480035,7,85.71428571428571,22,68,58,4,30,78,True
DOGEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.035591292360008,11,81.81818181818183,4,38,64,5,50,24,True
DOGEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.891808225039961,6,83.33333333333334,18,42,64,7,72,74,True
DOGEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,4.767596285959996,7,57.14285714285714,14,16,72,2,34,78,True
DOGEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,51.884562185399965,8,87.5,6,10,82,5,28,12,False
DOGEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.776868601160004,3,66.66666666666666,6,58,64,5,34,42,False
DOGEUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.172427156519984,1,0.0,4,72,64,5,74,64,False
DOGEUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-17.180361295559997,1,0.0,6,62,64,6,48,66,False
DOGEUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.802385193919931,9,77.77777777777779,4,12,78,5,22,58,False
DOGEUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-4.574422091280028,4,50.0,18,38,64,6,36,44,False
DOGEUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.707397932679962,15,66.66666666666666,12,8,72,4,18,14,False
DOGEUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.318641751480044,22,81.81818181818183,20,12,60,6,62,30,False
