Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
DOGEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.3937933662000024,4,75.0,4,42,56,4,32,24,False
DOGEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.038529699719980215,10,60.0,4,26,58,5,68,38,False
DOGEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.240114147040039,18,55.55555555555556,4,40,54,4,70,48,False
DOGEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.591276378679976,16,81.25,4,26,58,5,58,20,False
DOGEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.654807511199959,27,62.96296296296296,8,76,52,5,72,34,False
DOGEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.152019718559986,4,50.0,4,6,84,6,46,40,False
DOGEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.5842350362800017,4,50.0,8,48,60,6,44,58,False
DOGEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.291622638000007,1,0.0,4,20,70,5,50,46,False
DOGEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.523759298800012,5,40.0,4,18,68,2,6,58,False
DOGEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.656088821359993,2,50.0,4,50,60,3,18,44,False
DOGEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.3891175177199955,22,68.18181818181817,16,48,48,9,16,64,False
DOGEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.6533762346399463,5,40.0,22,30,50,9,22,22,False
DOGEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.3619426373599826,23,56.52173913043478,6,50,48,7,62,20,False
DOGEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.9622261419599987,2,100.0,6,42,58,8,48,70,True
DOGEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.3056711622799746,12,25.0,22,78,46,9,20,20,False
DOGEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,5.022370778120022,3,66.66666666666666,8,20,64,4,22,64,True
DOGEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.1062647058400321,6,66.66666666666666,14,26,56,3,22,64,True
DOGEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.07608946320000198,2,50.0,14,4,68,8,78,58,True
DOGEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.04044920976004063,9,55.55555555555556,14,68,52,6,48,64,True
DOGEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.2018596378800215,9,88.88888888888889,6,44,60,5,64,30,True
DOGEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.4348955117199793,17,64.70588235294117,4,72,54,7,42,38,True
DOGEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.380907345240026,4,75.0,8,28,64,4,54,74,False
DOGEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,20.214670619000064,13,76.92307692307693,4,52,62,3,32,62,False
DOGEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.382320519200001,3,66.66666666666666,4,62,64,6,18,38,False
DOGEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-3.7626529020000077,1,0.0,4,14,76,3,40,78,True
DOGEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-1.9079538745200075,1,0.0,4,16,74,5,20,68,True
DOGEUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.5982923974799714,8,75.0,4,4,88,3,72,42,False
DOGEUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,17.873004606920027,23,91.30434782608695,8,8,46,5,26,38,False
DOGEUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-10.856990129599996,11,72.72727272727273,12,4,62,4,24,10,False
DOGEUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.4916424645200035,3,33.33333333333333,10,6,76,3,34,36,True
