Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
DOTUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.534568452000021,3,66.66666666666666,10,20,64,2,16,56,False
DOTUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.764090775999977,3,66.66666666666666,18,30,56,2,34,64,False
DOTUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.440326847999998,10,80.0,6,48,56,5,64,36,False
DOTUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,8.519764295999988,9,88.88888888888889,10,38,56,3,8,48,False
DOTUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.995745684000033,5,80.0,6,64,60,4,18,48,True
DOTUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-12.356417300000011,2,50.0,8,20,64,4,44,40,False
DOTUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.7095673280000074,1,0.0,10,56,58,5,46,36,False
DOTUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-18.238992956,2,0.0,10,18,66,3,10,36,False
DOTUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.946350247999997,2,50.0,16,18,66,2,66,22,False
DOTUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.8939139120000439,5,80.0,14,12,60,7,12,10,False
DOTUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.2474194319999956,6,66.66666666666666,6,18,58,9,58,52,False
DOTUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.6531766359999756,9,77.77777777777779,22,44,48,7,78,36,False
DOTUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2685172480000118,5,80.0,16,60,54,4,10,70,True
DOTUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.673345211999977,3,100.0,20,36,56,2,54,70,True
DOTUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.8262214720000123,1,0.0,12,58,56,8,14,46,False
DOTUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-9.661168504000017,3,33.33333333333333,18,32,56,8,38,30,False
DOTUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5938499640000039,3,66.66666666666666,18,26,54,2,56,66,True
DOTUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,12,34,66,5,28,26,True
DOTUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.745189028000004,6,33.33333333333333,18,64,54,4,4,78,True
DOTUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.46946792799995585,8,62.5,8,6,40,2,40,50,True
DOTUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.6257707759999915,19,63.1578947368421,4,4,50,2,56,68,True
DOTUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.0824428399999992,3,66.66666666666666,6,10,68,2,6,34,True
DOTUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.5841062919999862,6,83.33333333333334,10,42,58,4,46,32,True
DOTUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,14.993678352000028,10,60.0,4,64,60,9,60,50,False
DOTUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-9.005280783999991,1,0.0,4,72,60,3,68,52,True
DOTUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-10.110089135999967,4,50.0,6,20,62,2,48,24,False
DOTUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.6002222240000252,9,66.66666666666666,12,36,54,5,42,28,False
DOTUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-0.797280144000001,3,33.33333333333333,10,12,62,3,48,54,True
DOTUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-17.89275234800001,14,85.71428571428571,10,6,50,5,38,38,False
DOTUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,5.093614964000048,15,80.0,14,6,48,3,50,48,False
