Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
DOTUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-15.079758339999971,6,66.66666666666666,6,42,62,4,62,46,False
DOTUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.111032835999975,1,0.0,12,54,60,3,14,22,False
DOTUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,9.18903250800005,11,81.81818181818183,12,46,58,2,8,20,False
DOTUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.211081476000002,10,90.0,22,28,54,4,66,64,False
DOTUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,26.46880404799998,4,75.0,20,12,76,5,76,20,False
DOTUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-11.20385489600001,2,50.0,14,40,60,3,68,36,False
DOTUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.522792360000006,2,0.0,20,46,60,5,44,76,False
DOTUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.528779135999997,3,33.33333333333333,14,30,64,2,50,74,True
DOTUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.7186566799999645,2,50.0,16,24,66,2,16,52,False
DOTUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.477459364000014,17,76.47058823529412,18,22,52,2,40,10,False
DOTUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.679987144000017,10,80.0,22,28,56,7,12,22,False
DOTUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.930254711999956,10,60.0,14,42,52,7,48,54,False
DOTUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.8162271040000224,5,80.0,14,46,58,5,62,44,True
DOTUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.80347031199999,3,66.66666666666666,10,40,62,8,52,38,True
DOTUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.4303312400000481,7,42.857142857142854,6,48,54,2,56,16,True
DOTUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-18.43427682000003,19,31.57894736842105,14,62,50,7,4,26,False
DOTUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.5776885679998456,49,36.734693877551024,10,56,42,7,6,54,False
DOTUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.070472591999927,42,52.38095238095239,12,44,42,8,46,78,False
DOTUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.1824027720001009,43,44.18604651162791,22,62,42,6,36,46,False
DOTUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.11472831999999045,9,55.55555555555556,16,46,48,2,66,52,True
DOTUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.63102609600001,9,88.88888888888889,10,8,62,4,74,76,True
DOTUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.461239075999976,1,100.0,18,58,58,2,12,50,True
DOTUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.88759091200004,12,91.66666666666666,18,20,52,4,46,20,False
DOTUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,20.01477211599998,10,60.0,4,68,60,2,14,56,False
DOTUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-3.8218064760000003,1,0.0,4,52,64,6,18,44,False
DOTUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-9.131589412000052,2,0.0,14,20,70,7,46,42,False
DOTUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-6.626391688,3,66.66666666666666,22,32,62,3,34,40,False
DOTUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-5.381557023999994,3,66.66666666666666,14,28,64,8,20,24,False
DOTUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-19.801088476000007,30,76.66666666666667,6,8,58,5,42,64,False
DOTUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.708968431999992,5,60.0,12,10,72,2,12,46,True
