Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
EOSUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-10.944103640000014,5,60.0,18,70,58,4,8,28,False
EOSUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.381584383999981,4,25.0,8,62,60,5,40,32,False
EOSUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.7508423160000888,81,53.086419753086425,18,58,48,6,76,62,False
EOSUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.049172320000017,12,83.33333333333334,8,24,64,7,22,62,False
EOSUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,3.631659696000056,42,90.47619047619048,6,8,66,5,32,38,False
EOSUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-12.352934544000016,4,50.0,8,48,62,4,26,54,False
EOSUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.5684093480000652,5,60.0,18,78,58,7,16,64,False
EOSUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.986511491999879,40,85.0,22,6,56,3,32,36,False
EOSUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.9707914200000083,19,73.68421052631578,6,64,58,5,68,76,True
EOSUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.450276919999994,1,0.0,22,54,62,5,32,34,False
EOSUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.19830591600003,4,50.0,20,26,64,6,68,62,True
EOSUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.375414652,2,0.0,20,10,76,3,28,60,True
EOSUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.6333587799999947,7,85.71428571428571,20,34,58,2,32,62,True
EOSUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.0227274959999866,9,55.55555555555556,20,6,66,2,78,72,True
EOSUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.370851831999987,11,81.81818181818183,22,14,54,2,66,58,True
EOSUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,20,68,66,1,70,70,False
EOSUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.48665961200002883,8,87.5,20,12,66,7,64,64,True
EOSUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.8592141240000304,10,80.0,22,16,58,2,30,54,True
EOSUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.8350453600000085,1,0.0,16,64,60,9,20,70,True
EOSUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.2605397199998434,41,82.92682926829268,10,14,58,7,14,50,False
EOSUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-6.548857163999999,15,66.66666666666666,18,12,64,3,14,24,False
EOSUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.897842476000023,9,77.77777777777779,22,10,60,3,68,70,True
EOSUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,22.07779304400004,26,92.3076923076923,8,14,62,6,50,68,False
EOSUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-5.525544719999964,4,75.0,8,12,78,6,74,40,False
EOSUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-13.197645623999998,4,50.0,22,22,68,7,52,58,False
EOSUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.6638065839999818,16,68.75,22,38,56,4,60,42,False
EOSUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,9.908848515999935,16,87.5,4,20,68,9,36,62,False
EOSUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-7.305683188000001,7,71.42857142857143,4,16,72,7,4,76,False
EOSUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.3712331519999834,1,0.0,4,44,72,2,78,10,False
