Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
EOSUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.039754663999993,2,50.0,18,44,56,5,18,52,False
EOSUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.7083418799999741,2,50.0,12,74,56,5,50,38,False
EOSUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.1982904279999262,30,53.333333333333336,6,16,50,3,28,54,False
EOSUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,9.797384963999999,5,80.0,8,32,60,5,38,76,False
EOSUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.826432652000093,20,75.0,6,26,56,5,34,66,False
EOSUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-7.379317159999987,2,0.0,6,46,58,4,34,16,False
EOSUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.818683591999982,3,66.66666666666666,6,74,56,5,36,64,False
EOSUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.52312701999999,4,25.0,10,34,58,4,30,70,False
EOSUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.4362574279999882,1,0.0,6,72,56,2,28,64,False
EOSUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.42350266399998615,3,66.66666666666666,12,32,60,4,20,74,False
EOSUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.6449705199999896,1,0.0,10,40,58,3,40,56,True
EOSUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.422092856000017,2,0.0,10,18,56,7,56,78,False
EOSUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.5224606879999927,4,75.0,10,28,58,6,74,76,True
EOSUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.070872215999997,1,100.0,20,10,70,6,38,74,True
EOSUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.2378104199999953,4,75.0,16,8,46,2,26,78,True
EOSUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.6455416799999947,3,66.66666666666666,10,18,58,3,38,68,True
EOSUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.24259032800000302,9,55.55555555555556,8,4,44,4,76,32,True
EOSUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,18,42,54,2,20,60,True
EOSUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.239477939999989,5,100.0,16,54,52,3,76,58,True
EOSUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.450759599999987,4,75.0,22,6,64,9,34,58,False
EOSUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.887372471999993,4,100.0,8,50,56,6,58,60,True
EOSUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-5.382212848000001,1,0.0,4,72,58,5,6,30,True
EOSUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,7.640939759999998,16,87.5,6,8,60,2,38,32,True
EOSUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.738261664000024,9,88.88888888888889,4,20,64,5,42,64,True
EOSUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-11.518383135999988,1,0.0,4,52,62,4,54,66,False
EOSUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-6.966787312,1,0.0,6,74,60,3,24,18,False
EOSUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.4381904159999626,31,64.51612903225806,4,6,52,6,22,50,False
EOSUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-9.134195280000002,13,46.15384615384615,4,14,58,4,62,68,True
EOSUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-13.235827136000012,1,0.0,4,78,60,3,10,64,False
EOSUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.8446539119999041,35,65.71428571428571,8,74,42,7,50,58,False
