Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
ETHUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.12376671999998479,3,66.66666666666666,20,44,54,1,46,52,False
ETHUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-9.48085919999999,1,0.0,8,40,60,1,26,44,True
ETHUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.4768979200000105,4,75.0,4,10,78,3,54,56,False
ETHUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,12.137773559999987,11,90.9090909090909,4,36,62,1,76,52,True
ETHUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,12.353570199999986,4,75.0,8,48,60,4,60,10,False
ETHUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-11.636090640000008,1,0.0,8,22,68,2,24,14,False
ETHUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-6.849992960000018,4,25.0,4,8,74,1,76,42,False
ETHUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.625408840000032,3,66.66666666666666,6,44,62,1,22,16,False
ETHUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.3878875200000076,5,80.0,4,10,70,4,46,36,True
ETHUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.6673830799999836,11,45.45454545454545,6,74,46,8,36,52,False
ETHUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.389450080000001,3,66.66666666666666,12,60,54,1,46,54,True
ETHUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.9993689999999944,3,100.0,8,58,50,8,66,26,False
ETHUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,9.3092634,3,100.0,10,20,64,1,72,58,True
ETHUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.588617439999996,2,50.0,10,26,62,1,24,44,True
ETHUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-22.80635019999999,4,50.0,6,18,64,2,44,58,False
ETHUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.24883343999997365,3,100.0,10,74,52,4,44,60,True
ETHUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.09637423999999672,1,100.0,20,76,44,1,68,62,True
ETHUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.3491867599999985,11,63.63636363636363,4,52,52,7,18,22,True
ETHUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.15380327999998666,3,66.66666666666666,8,10,62,4,18,50,True
ETHUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.1276037599999622,12,66.66666666666666,6,66,52,7,48,64,True
ETHUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.8688681599999692,4,75.0,6,4,78,1,46,62,True
ETHUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.570623200000033,11,81.81818181818183,6,20,56,1,48,62,True
ETHUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.156897759999988,13,84.61538461538461,8,58,52,5,8,36,False
ETHUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,5.299569599999976,10,90.0,8,36,56,1,14,38,False
ETHUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-3.4833610799999914,1,0.0,12,74,58,2,58,70,False
ETHUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.5679907199999583,7,71.42857142857143,8,28,62,1,70,50,True
ETHUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-4.607639519999973,6,50.0,6,10,66,1,74,60,False
ETHUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-15.511888799999996,1,0.0,10,68,56,7,44,26,False
ETHUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.1804938400000093,3,66.66666666666666,10,52,58,3,62,44,True
