Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
ETHUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.3299319199999937,6,50.0,10,40,62,3,14,34,False
ETHUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.370089840000005,3,33.33333333333333,4,24,66,3,72,56,False
ETHUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.128503039999987,6,83.33333333333334,10,20,68,4,38,38,False
ETHUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.785376360000006,5,100.0,4,38,66,4,16,26,False
ETHUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,21.77724108000003,4,75.0,16,68,60,3,76,34,False
ETHUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.75003591999999,1,0.0,8,26,68,1,68,58,False
ETHUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.81402904000001,1,0.0,16,74,60,1,12,12,False
ETHUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.898108559999997,8,50.0,4,8,74,1,10,34,False
ETHUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.6355366800000262,5,60.0,12,38,64,1,78,40,False
ETHUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.2035630800000714,12,58.333333333333336,4,10,70,1,68,56,False
ETHUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.394523199999976,8,87.5,22,14,52,6,26,36,False
ETHUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.182951200000006,19,52.63157894736842,20,58,46,1,52,40,False
ETHUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.4480306799999667,5,60.0,14,44,52,9,36,62,False
ETHUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.028647600000011,4,100.0,8,28,62,4,10,26,True
ETHUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.3607591200000204,5,60.0,8,48,58,3,74,40,True
ETHUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-16.976594800000022,3,33.33333333333333,22,18,68,8,24,58,False
ETHUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.10150800000001681,2,50.0,8,68,48,8,48,18,True
ETHUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.147168920000009,1,0.0,20,64,54,3,70,74,True
ETHUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.4864761999999745,5,60.0,20,44,54,7,6,62,True
ETHUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,4.670443880000019,3,66.66666666666666,18,8,76,1,12,62,True
ETHUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.1265681200000257,13,38.46153846153847,8,72,46,4,62,38,True
ETHUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.270551639999995,2,50.0,18,28,64,7,30,78,True
ETHUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.9109229599999944,5,80.0,10,54,62,4,66,66,True
ETHUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,16.566584799999994,6,83.33333333333334,18,24,62,2,52,62,False
ETHUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,5.6954439200000095,3,66.66666666666666,12,10,80,1,72,68,True
ETHUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-6.235822559999981,6,33.33333333333333,12,20,62,1,22,66,False
ETHUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-2.26978456000001,5,60.0,10,6,86,1,78,52,True
ETHUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.6594267599999952,4,75.0,4,44,62,1,10,20,False
ETHUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-12.714583560000015,9,55.55555555555556,4,8,76,1,20,44,True
ETHUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.7616684399999851,8,87.5,10,54,52,9,44,46,True
