Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
FILUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.2175215760000153,1,0.0,6,62,60,4,46,54,False
FILUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.146041044000015,6,66.66666666666666,4,8,70,2,26,46,True
FILUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.8512968079999803,6,83.33333333333334,12,70,56,7,76,62,False
FILUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,16.393198608000013,12,91.66666666666666,8,8,64,4,24,34,False
FILUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,15.748200552000036,18,94.44444444444444,4,8,64,5,74,48,False
FILUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.7504468880000004,6,83.33333333333334,14,22,54,5,38,14,False
FILUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.213999263999978,15,66.66666666666666,4,18,56,3,52,64,False
FILUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-21.640692731999998,1,0.0,4,74,60,2,78,26,False
FILUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,6.419741931999989,3,100.0,14,56,56,2,34,76,True
FILUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.3478165760000271,4,75.0,12,54,54,2,6,74,True
FILUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.6759077160000015,4,50.0,6,22,56,2,18,50,True
FILUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.007404472000021,8,50.0,6,14,50,2,64,74,True
FILUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.3133157240000193,10,70.0,6,8,50,2,42,44,True
FILUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,6.003655055999979,4,75.0,12,20,62,2,12,48,True
FILUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.4125721559999915,5,80.0,16,18,56,3,50,62,True
FILUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.4600773879999815,3,100.0,14,30,58,4,22,70,True
FILUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.1289838880000014,7,85.71428571428571,12,58,54,6,54,68,True
FILUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.5673185600000075,1,0.0,10,14,68,3,8,28,True
FILUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.3267826440000121,6,66.66666666666666,22,4,70,9,24,34,False
FILUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.952961880000026,6,66.66666666666666,6,52,58,4,42,58,True
FILUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,4.830191903999981,5,100.0,16,50,54,2,10,78,True
FILUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.44704442799998745,3,66.66666666666666,4,44,60,5,36,42,True
FILUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.4501793560000262,22,63.63636363636363,12,34,42,2,56,72,False
FILUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.658162023999985,3,66.66666666666666,12,30,60,3,70,46,True
FILUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,8.491836988000001,1,0.0,4,34,64,5,56,38,False
FILUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-8.853358023999991,13,61.53846153846154,6,4,60,3,28,76,False
FILUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.1586754239999553,34,76.47058823529412,4,4,56,4,48,28,False
FILUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,11.903286748000053,18,83.33333333333334,8,4,58,3,30,74,False
FILUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-6.581526799999993,3,33.33333333333333,12,14,62,4,62,70,True
FILUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-1.0014919440000103,3,0.0,18,18,54,2,78,54,True
