Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
FILUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-19.96148138799998,2,0.0,16,32,64,3,46,18,False
FILUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.964366431999984,4,50.0,8,42,62,4,10,22,False
FILUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.600304344000003,12,66.66666666666666,8,26,58,3,48,76,False
FILUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,10.326396192000043,19,94.73684210526315,16,26,52,6,16,36,False
FILUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.632928980000056,13,76.92307692307693,10,10,64,3,50,54,False
FILUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-13.861989700000056,4,50.0,16,24,58,2,16,28,False
FILUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.8788656839999751,12,83.33333333333334,16,28,52,6,10,68,False
FILUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.920634195999951,42,73.80952380952381,4,22,52,3,52,78,False
FILUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.213926336000007,4,50.0,10,14,72,3,38,48,False
FILUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-5.6053539119999884,5,40.0,12,26,64,2,72,46,False
FILUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.21257481999998884,1,100.0,12,20,62,2,48,30,True
FILUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.653566268000008,3,66.66666666666666,20,56,56,3,44,68,True
FILUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.4707915680000063,1,100.0,12,14,74,3,24,22,True
FILUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.5251968359999859,2,100.0,16,50,48,6,34,36,True
FILUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.19143146399998034,6,33.33333333333333,18,68,50,6,38,54,True
FILUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-16.803423448,2,0.0,22,46,62,4,42,28,False
FILUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.20525570400000692,3,33.33333333333333,22,42,48,2,54,58,True
FILUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.039375760000015525,2,50.0,20,70,46,8,28,44,True
FILUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.4863377559999882,7,71.42857142857143,20,28,52,3,78,54,True
FILUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.114162532000007,8,87.5,8,68,58,4,34,60,True
FILUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.7560498639999644,11,63.63636363636363,20,6,66,2,28,62,False
FILUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.6720087679999773,8,62.5,18,12,62,2,50,66,False
FILUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,15.210572396000032,12,100.0,22,14,54,4,40,44,False
FILUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-6.346053792000006,9,66.66666666666666,6,10,70,5,28,46,False
FILUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-5.860751740000014,2,0.0,4,28,66,4,48,54,True
FILUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.03955994799997864,30,90.0,6,6,62,3,48,16,False
FILUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,4.999259140000012,28,85.71428571428571,10,10,52,3,70,48,False
FILUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-23.588598667999992,9,55.55555555555556,12,4,86,2,10,38,False
FILUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-2.0540122759999946,25,64.0,6,12,54,3,20,76,True
