Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
INJUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,8.53324028000002,5,80.0,4,16,68,3,38,42,False
INJUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-12.019437992000004,3,33.33333333333333,12,10,74,3,12,12,False
INJUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-2.943393664000016,7,71.42857142857143,8,38,56,4,72,22,False
INJUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.604753040000032,10,90.0,6,18,58,4,56,40,False
INJUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-2.665345139999975,5,60.0,10,10,62,2,48,58,False
INJUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.515715199999997,8,50.0,6,18,58,5,64,16,False
INJUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.496496928000038,35,68.57142857142857,4,10,48,2,28,18,False
INJUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-18.321702364000036,34,52.94117647058824,4,42,46,2,64,46,False
INJUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.6600491400000084,29,55.172413793103445,4,18,48,3,68,58,False
INJUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.6622161040000574,17,52.94117647058824,4,58,52,2,60,64,True
INJUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.23777802800000192,24,75.0,4,8,50,7,42,38,False
INJUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.4807383600000001,4,75.0,16,12,40,2,58,76,True
INJUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.4470502759999837,8,50.0,6,50,54,6,14,48,True
INJUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.8464005999999866,1,100.0,6,60,56,9,14,50,True
INJUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.2150274640000087,15,33.33333333333333,4,70,54,3,44,72,True
INJUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-22.655253732000023,2,0.0,20,34,58,5,6,36,False
INJUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,3.109628467999981,5,80.0,8,18,66,6,16,40,True
INJUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.39706480799999166,2,50.0,12,30,56,5,6,78,True
INJUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,8.979838908000048,9,88.88888888888889,10,22,62,4,14,56,True
INJUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.30455738399998156,11,81.81818181818183,14,8,48,3,70,72,False
INJUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,12.337350575999984,30,83.33333333333334,6,8,48,4,40,44,False
INJUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-6.507251720000006,10,70.0,8,8,54,6,76,70,False
INJUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.2834154599999525,26,76.92307692307693,6,4,42,2,30,42,False
INJUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,16.528933164000016,6,66.66666666666666,10,40,58,8,44,10,False
INJUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,8.351437847999943,3,33.33333333333333,12,18,62,3,20,52,False
INJUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-9.558676868000004,1,0.0,16,70,56,3,52,38,False
INJUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.256585687999956,11,90.9090909090909,10,10,58,2,40,68,True
INJUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-5.981481431999979,4,75.0,10,50,58,2,70,38,True
INJUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-10.362832636000007,1,0.0,18,10,66,2,38,64,True
INJUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.30415534800003474,7,42.857142857142854,8,40,40,2,66,58,True
