Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
INJUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.29358253199998074,4,75.0,4,26,68,2,12,40,True
INJUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.442214167999996,4,50.0,4,62,60,3,14,78,False
INJUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-2.216255055999994,2,0.0,6,38,64,3,62,40,False
INJUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,7.659007008000018,9,88.88888888888889,10,22,60,2,18,70,False
INJUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,19.694764163999956,9,77.77777777777779,12,24,60,3,22,26,False
INJUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.63115601600001,9,66.66666666666666,12,34,56,3,10,38,False
INJUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.6364904719999407,27,81.48148148148148,18,38,48,2,24,76,False
INJUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-16.853292236000016,18,61.111111111111114,20,26,48,4,52,18,False
INJUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.4525950239999919,24,75.0,8,14,54,8,62,68,False
INJUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.8268248239999165,25,64.0,6,18,52,5,32,76,False
INJUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-4.489598256000004,86,60.46511627906976,4,4,40,3,78,58,False
INJUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.256568940000103,53,64.15094339622641,4,16,52,4,24,28,False
INJUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.1895263200000006,8,50.0,12,20,56,2,36,68,True
INJUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.873438816000018,3,66.66666666666666,8,68,56,2,14,38,True
INJUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.0819002560000364,20,75.0,8,34,54,2,24,70,True
INJUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-25.977902592000014,4,50.0,18,40,60,6,62,44,False
INJUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.791503883999912,21,61.904761904761905,6,64,56,8,54,42,True
INJUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.8997679759999988,2,50.0,16,42,58,3,42,42,True
INJUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.4909355720000184,11,90.9090909090909,22,12,58,9,32,52,False
INJUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.547035683999944,7,85.71428571428571,8,42,58,5,26,42,True
INJUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,5.980626832000024,11,90.9090909090909,20,10,62,9,26,14,False
INJUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.902879104,2,50.0,18,30,62,4,6,76,True
INJUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.678813723999939,13,69.23076923076923,22,4,60,2,34,76,False
INJUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,22.47477203999999,2,50.0,22,42,60,3,4,48,False
INJUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,6.38541425200001,3,33.33333333333333,22,26,62,5,34,76,False
INJUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-24.726644127999997,3,33.33333333333333,16,46,58,3,12,54,False
INJUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-11.011614436000016,26,65.38461538461539,6,40,56,2,54,72,False
INJUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-2.37768798399991,6,66.66666666666666,12,12,72,4,64,34,False
INJUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-25.17714684800002,13,61.53846153846154,18,10,54,4,76,16,False
INJUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,5.948089532000034,18,66.66666666666666,6,62,54,3,32,24,True
