Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
LDOUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.980975096399943,10,90.0,6,40,56,5,46,48,False
LDOUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.76688935760001,2,50.0,20,46,56,4,42,48,False
LDOUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.838405600400006,5,60.0,6,38,58,6,8,40,False
LDOUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,12.451843894400017,8,75.0,4,54,58,7,26,46,False
LDOUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,11.71170895119995,11,90.9090909090909,4,8,68,6,12,10,False
LDOUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.277204316400018,9,77.77777777777779,4,24,62,5,68,24,False
LDOUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.2344058067999875,1,0.0,4,74,54,9,28,44,False
LDOUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-16.132767437599995,7,71.42857142857143,16,4,68,4,42,56,False
LDOUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,5.655494129600003,3,66.66666666666666,4,76,56,5,72,32,True
LDOUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.3978442132000057,8,25.0,18,6,54,2,46,58,False
LDOUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.13812508640000942,26,46.15384615384615,22,68,46,9,50,38,False
LDOUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.9147504231999966,1,100.0,8,44,60,5,76,26,True
LDOUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.3057196699999505,12,58.333333333333336,18,50,48,4,28,72,False
LDOUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.9890953280000003,1,0.0,4,44,60,9,28,62,True
LDOUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-7.823090168399993,3,33.33333333333333,18,6,76,7,22,42,False
LDOUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-23.998062459200064,9,55.55555555555556,6,12,58,4,14,26,False
LDOUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.259038401199919,23,65.21739130434783,4,12,54,5,78,34,True
LDOUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.6403440391999924,2,50.0,10,16,58,4,56,70,True
LDOUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.886341473599985,6,83.33333333333334,8,42,52,2,44,20,True
LDOUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.7256452751999598,6,83.33333333333334,14,36,52,6,42,62,True
LDOUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.38635301360000485,3,66.66666666666666,12,6,68,8,34,70,True
LDOUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.059158368400025196,2,50.0,4,66,58,5,14,34,True
LDOUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-5.824851557999988,3,33.33333333333333,4,32,64,3,70,32,True
LDOUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,16.48851032319998,39,71.7948717948718,4,16,50,3,26,58,False
LDOUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,16.520939574799986,3,66.66666666666666,4,74,58,9,42,36,False
LDOUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,18.18220188440001,1,0.0,20,72,56,7,32,18,False
LDOUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-15.38881566839997,5,80.0,6,58,58,5,68,28,False
LDOUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-1.0669202403999933,16,62.5,4,8,58,4,42,68,True
LDOUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-22.176660097999978,2,50.0,12,54,58,5,48,76,True
LDOUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.326742271999958,6,83.33333333333334,6,56,58,4,46,50,True
