Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
LDOUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,12.826372467199953,10,60.0,12,66,56,5,58,42,False
LDOUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.396406083200001,10,80.0,6,68,56,5,24,70,False
LDOUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.8077005516000222,4,50.0,20,44,58,4,44,54,False
LDOUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,14.661388425599986,17,88.23529411764706,8,70,56,6,8,28,False
LDOUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.001368058800008,3,66.66666666666666,16,70,56,7,12,52,False
LDOUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.8834922884,14,71.42857142857143,6,44,58,5,56,66,False
LDOUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.0933906095999202,8,75.0,16,8,70,4,50,56,False
LDOUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-11.939583198400028,15,53.333333333333336,10,8,62,3,74,38,False
LDOUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,8.48063784560007,8,62.5,4,68,58,7,44,66,True
LDOUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-6.602942168399983,24,62.5,14,20,48,3,60,72,False
LDOUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,9.368654772399987,5,100.0,12,38,60,3,16,30,True
LDOUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,6.626436444399997,2,50.0,6,66,60,9,64,58,True
LDOUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-4.523596656000006,7,85.71428571428571,8,38,62,3,28,52,True
LDOUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.7462623176000687,28,78.57142857142857,10,28,50,4,16,38,False
LDOUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.2535892747999378,14,78.57142857142857,10,8,68,7,34,30,False
LDOUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-22.656828891999957,16,62.5,6,8,68,4,66,22,False
LDOUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.05888140080003712,25,68.0,6,6,64,4,30,46,True
LDOUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.192677602399994,4,25.0,14,14,62,3,24,72,True
LDOUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.649944757200017,10,80.0,18,22,54,3,32,60,True
LDOUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.967287669599994,5,100.0,12,10,66,3,14,74,True
LDOUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-2.758333993600004,3,66.66666666666666,14,10,66,3,8,72,True
LDOUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,3.163049351199998,6,83.33333333333334,12,10,66,2,34,54,True
LDOUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.443678147599961,6,66.66666666666666,8,12,76,5,58,52,True
LDOUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,17.255848741600044,29,96.55172413793103,10,22,52,7,50,70,False
LDOUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,16.480732247600073,6,66.66666666666666,12,70,58,6,22,36,False
LDOUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-11.393186062800053,23,65.21739130434783,4,10,62,4,26,40,False
LDOUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-8.685140177999983,3,66.66666666666666,8,70,60,7,40,10,False
LDOUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,14.628210504799966,11,72.72727272727273,4,70,60,7,52,10,False
LDOUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-25.16153061919997,5,80.0,8,38,60,5,20,20,False
LDOUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.4731043963999926,19,68.42105263157895,6,18,58,2,76,60,True
