Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
LINKUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.258048736000017,3,33.33333333333333,6,12,74,3,14,22,False
LINKUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.580779320000006,7,57.14285714285714,14,64,52,4,34,38,False
LINKUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.458389735999968,6,100.0,20,34,58,6,78,72,False
LINKUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-3.9624636440000027,1,0.0,8,52,58,3,36,78,False
LINKUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.9437337840000346,16,68.75,12,16,46,2,42,46,False
LINKUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.401513707999996,1,0.0,4,68,56,2,6,70,False
LINKUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.9105411840000133,4,75.0,16,44,52,2,38,54,False
LINKUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-17.299420203999983,6,83.33333333333334,10,40,52,2,54,22,False
LINKUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-8.293422936000006,1,0.0,22,10,68,3,72,36,False
LINKUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.961341367999971,4,75.0,16,10,64,6,44,40,False
LINKUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.4784420479999856,7,85.71428571428571,22,24,54,7,68,10,False
LINKUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.030853584000017,10,50.0,16,4,58,2,16,56,False
LINKUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.4261628799999917,23,47.82608695652174,18,78,44,7,66,68,False
LINKUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.27693588799999613,2,50.0,18,6,58,2,6,76,True
LINKUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.028772376000055,6,66.66666666666666,18,20,52,4,44,74,False
LINKUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-9.578004523999994,9,44.44444444444444,16,38,48,3,12,56,False
LINKUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.29955861999999556,1,0.0,14,14,64,2,56,58,True
LINKUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.6961580720000082,2,100.0,12,40,52,2,20,66,True
LINKUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.9432522079999783,5,60.0,14,22,60,5,10,66,True
LINKUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.7071756680000041,9,44.44444444444444,8,68,52,6,10,72,True
LINKUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.18618277999999933,3,100.0,12,4,78,9,78,58,True
LINKUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-7.085309675999973,5,20.0,8,54,54,2,6,74,True
LINKUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.6562823440000365,16,75.0,4,78,58,4,54,44,True
LINKUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,21.733084856000005,4,75.0,6,36,64,6,78,50,False
LINKUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,21.55047924000002,18,72.22222222222221,6,66,56,3,8,18,False
LINKUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-17.12372294400002,2,0.0,8,30,62,3,40,18,False
LINKUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.20021571199999,3,66.66666666666666,10,48,60,4,60,42,False
LINKUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,28.693118216000002,12,75.0,6,6,66,2,28,26,False
LINKUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-18.976285703999995,1,0.0,6,38,60,2,12,24,False
LINKUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,6.5447487479999955,6,50.0,8,8,74,2,34,42,False
