Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
LINKUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-2.017645504000043,5,60.0,4,62,60,2,22,46,False
LINKUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.29028413200001824,4,50.0,22,46,58,3,8,46,False
LINKUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,14.058938988000037,7,85.71428571428571,8,34,64,6,68,10,False
LINKUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-2.055432883999997,1,0.0,16,40,62,6,34,22,False
LINKUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,11.137836879999963,4,100.0,16,60,58,4,74,14,False
LINKUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-7.819613860000008,1,0.0,8,70,56,2,14,14,False
LINKUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.3151332320000115,11,45.45454545454545,4,62,54,6,26,22,False
LINKUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.669632091999993,9,66.66666666666666,18,14,58,2,64,36,False
LINKUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.9057137240000022,17,82.35294117647058,18,18,50,2,34,40,False
LINKUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.4478126000000193,21,76.19047619047619,12,16,52,4,64,68,False
LINKUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.8585892760001768,58,51.724137931034484,14,54,44,2,44,60,False
LINKUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.650771096000004,22,77.27272727272727,12,12,50,7,50,54,False
LINKUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.13570105600004823,21,52.38095238095239,4,48,50,6,76,12,True
LINKUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.7169234200000041,14,78.57142857142857,16,40,52,7,32,76,False
LINKUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.541892496000042,35,45.714285714285715,10,56,50,5,66,26,False
LINKUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-17.391488648000053,10,50.0,14,54,52,8,10,58,False
LINKUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.7141724720000528,9,77.77777777777779,14,12,62,4,8,54,True
LINKUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.0830959040000199,7,57.14285714285714,14,56,52,4,16,50,True
LINKUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-4.713774132000004,5,60.0,18,14,60,2,52,72,True
LINKUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.3076801400000004,4,50.0,14,42,60,6,60,68,True
LINKUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.9137947559999859,3,33.33333333333333,6,14,74,4,46,76,True
LINKUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.446098527999999,7,85.71428571428571,6,46,64,8,38,52,True
LINKUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,19.145421728000002,3,66.66666666666666,6,32,66,4,14,28,True
LINKUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,29.270563432000007,8,87.5,14,38,62,5,44,36,False
LINKUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-20.942246655999995,2,0.0,14,12,76,3,50,14,False
LINKUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.606667923999997,3,66.66666666666666,12,14,74,3,58,74,False
LINKUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,8.377605927999966,2,50.0,4,66,62,7,28,26,True
LINKUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-20.125520752000003,1,0.0,12,28,66,4,10,66,False
LINKUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,4.092948144000008,12,66.66666666666666,6,36,56,4,38,62,False
