Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
LTCUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-2.8432598399999787,16,75.0,12,8,58,2,22,76,False
LTCUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.6201877999999827,33,81.81818181818183,10,10,52,2,60,30,False
LTCUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.3360778800000555,7,71.42857142857143,10,30,62,6,74,32,False
LTCUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.03848712000000809,3,33.33333333333333,8,42,60,3,62,62,False
LTCUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,14.022895239999954,11,81.81818181818183,10,30,62,5,18,30,False
LTCUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,6.247037000000044,9,66.66666666666666,8,4,84,2,34,58,False
LTCUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.432344520000095,23,73.91304347826086,18,22,50,2,48,34,False
LTCUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.3891059999999955,1,0.0,4,70,62,3,34,78,True
LTCUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.250949879999987,1,0.0,4,78,62,3,30,52,False
LTCUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.688501920000032,6,50.0,16,16,66,2,14,24,False
LTCUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.411822319999989,3,66.66666666666666,22,22,62,4,70,56,False
LTCUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.430746160000019,4,50.0,20,18,64,5,76,74,False
LTCUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.7181470400000185,10,100.0,20,42,54,7,50,46,False
LTCUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.7494528400000089,14,71.42857142857143,6,22,62,2,34,50,True
LTCUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.16239527999996062,7,71.42857142857143,12,20,62,2,74,34,True
LTCUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-14.771585880000016,5,60.0,14,48,56,6,36,54,False
LTCUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.8744993200000115,9,88.88888888888889,14,10,52,1,48,58,True
LTCUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.021519999999998,1,0.0,18,14,78,6,8,72,True
LTCUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.613425359999956,15,80.0,4,4,86,2,46,76,True
LTCUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.13593059999998935,3,33.33333333333333,20,46,60,2,62,74,True
LTCUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,9.022246960000002,10,90.0,6,32,62,4,8,68,True
LTCUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.7789409999999903,4,75.0,8,58,58,2,72,50,True
LTCUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,27.15161252,11,90.9090909090909,4,36,64,3,46,32,True
LTCUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,21.547636759999953,3,100.0,10,28,64,2,72,38,False
LTCUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,5.886599039999996,1,0.0,6,68,60,7,52,28,False
LTCUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-10.705289800000006,4,50.0,4,48,58,2,8,64,False
LTCUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.7656860000000432,4,75.0,14,66,58,1,20,60,False
LTCUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,6.71397851999993,14,78.57142857142857,10,16,60,2,52,76,False
LTCUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.34248895999999807,1,100.0,20,14,58,1,54,46,False
LTCUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.0649574399999935,6,66.66666666666666,4,56,60,6,18,50,True
