Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
NEARUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-14.146742035999992,2,50.0,4,72,64,8,10,68,False
NEARUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.908005220000037,3,33.33333333333333,12,32,68,5,28,32,False
NEARUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.018193484000054,7,85.71428571428571,4,38,66,9,6,54,False
NEARUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,18.04830155599997,4,75.0,10,38,66,8,54,74,False
NEARUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,36.480598363999974,6,83.33333333333334,14,10,80,7,52,54,False
NEARUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,4.020465751999991,2,50.0,10,30,68,5,28,56,False
NEARUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.2953987400000422,3,66.66666666666666,6,38,66,8,34,20,False
NEARUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.389266716000023,2,0.0,6,72,62,4,48,16,False
NEARUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.719715444000025,6,66.66666666666666,6,48,64,8,78,68,False
NEARUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,5.828889376000013,3,66.66666666666666,12,62,62,5,46,36,False
NEARUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.446957288000009,6,66.66666666666666,6,30,62,6,8,16,True
NEARUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,10.068379260000015,6,100.0,22,52,58,9,44,16,False
NEARUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-8.480443344000065,20,85.0,20,6,70,6,78,64,False
NEARUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.35451459199989,34,82.35294117647058,20,8,56,4,16,12,False
NEARUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.40721699599995,7,100.0,22,70,50,2,78,76,True
NEARUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.0013962399999956077,1,0.0,12,26,40,4,8,18,True
NEARUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,22,34,72,1,46,62,False
NEARUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.9456344480000007,6,66.66666666666666,22,6,66,2,52,64,True
NEARUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.8140683999999925,6,33.33333333333333,16,14,64,4,46,38,True
NEARUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-2.888501131999932,13,61.53846153846154,20,8,68,4,36,60,False
NEARUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-14.033172852000009,9,55.55555555555556,22,20,58,4,16,66,False
NEARUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,8.473269416000019,43,86.04651162790698,22,24,46,3,38,26,False
NEARUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,24.24363120000006,16,81.25,10,24,62,2,40,44,False
NEARUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,10.637733212000011,2,50.0,6,64,60,4,8,12,False
NEARUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-20.129869836000005,4,50.0,4,70,60,3,36,16,False
NEARUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-4.846249260000035,10,80.0,18,54,58,4,36,44,False
NEARUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-1.4279454120000756,20,70.0,14,12,64,5,66,20,False
NEARUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-22.796806851999975,6,50.0,22,36,58,2,52,24,False
NEARUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,5.50277492800002,22,86.36363636363636,18,22,56,8,10,36,False
