Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
OPUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.4776917524000055,1,0.0,14,74,60,4,60,28,False
OPUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.987339296800002,3,33.33333333333333,4,30,66,6,50,48,False
OPUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,8.27358033400003,29,79.3103448275862,6,46,58,6,62,36,False
OPUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.479689188799951,7,57.14285714285714,8,26,68,6,16,26,False
OPUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,17.705660252400058,3,66.66666666666666,14,40,64,6,26,40,False
OPUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.330717290800004,8,75.0,10,34,60,4,36,50,False
OPUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-13.147097184399959,11,72.72727272727273,14,38,58,5,30,32,False
OPUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-27.730672251199984,2,0.0,20,56,58,4,60,58,False
OPUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.1347894295999934,6,50.0,20,20,68,5,10,68,True
OPUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.958056513600026,25,68.0,10,8,66,6,42,40,False
OPUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.0624772624000078,4,75.0,16,4,76,3,64,46,True
OPUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.0384022439999816,6,100.0,8,62,56,9,32,16,True
OPUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2512798427999572,8,87.5,12,12,60,3,32,24,True
OPUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.338072035999973,2,50.0,10,60,54,4,16,18,True
OPUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.7254391011999881,4,50.0,8,50,60,6,44,38,True
OPUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-6.1181114884000465,8,50.0,16,76,56,6,74,70,True
OPUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,3.528035245999983,10,90.0,22,4,88,5,44,76,True
OPUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.28853696399999684,1,100.0,20,10,64,2,48,30,True
OPUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.057751409200068604,17,82.35294117647058,8,14,64,7,50,64,True
OPUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.654252150400029,8,62.5,14,6,80,3,72,70,True
OPUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,6.781493292400054,30,86.66666666666667,18,20,52,3,54,32,False
OPUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-7.047095121199998,1,0.0,6,78,62,9,22,76,True
OPUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,11.2193180492,8,87.5,4,42,66,7,32,40,True
OPUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,42.803251509600116,5,80.0,8,76,62,7,54,56,False
OPUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,7.723692783600011,3,66.66666666666666,12,44,64,4,62,22,False
OPUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-15.51224305440001,7,42.857142857142854,10,46,58,5,70,32,False
OPUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-2.3884864804000427,18,83.33333333333334,14,16,62,5,52,46,False
OPUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-7.697306435199957,16,62.5,16,12,66,3,18,62,False
OPUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-4.7418259944000285,10,70.0,10,40,58,6,12,24,False
OPUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,11.540834023599956,15,86.66666666666667,16,46,58,3,12,76,True
