Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
OPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.030141335999995,1,0.0,6,68,60,4,62,20,False
OPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.514039643999983,1,0.0,4,50,60,7,36,16,False
OPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.8231076952000222,4,75.0,18,20,58,6,74,70,False
OPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.021694112000014698,3,33.33333333333333,16,20,58,4,78,72,False
OPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,27.036881019199967,6,83.33333333333334,20,12,68,3,46,28,False
OPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-15.412280873199979,1,0.0,8,12,72,5,42,18,False
OPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-10.41831685600002,1,0.0,4,64,56,4,32,70,False
OPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.899158175599986,3,33.33333333333333,4,8,76,7,52,68,False
OPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.7268433331999669,21,71.42857142857143,4,10,56,3,70,42,True
OPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.171369594800057,5,40.0,8,8,68,2,50,78,False
OPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,10,52,52,2,70,20,True
OPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.516316152399976,1,0.0,12,70,56,5,30,42,True
OPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.1358912032000124,1,0.0,8,70,54,5,52,26,True
OPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.948781038400007,4,75.0,18,18,60,9,52,34,False
OPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.3762515176000374,14,64.28571428571429,20,64,48,7,60,34,False
OPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.772402307199994,3,66.66666666666666,18,42,54,4,26,78,True
OPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.07110642840000292,2,50.0,14,14,52,6,34,46,True
OPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.03378935000006855,20,50.0,22,66,40,8,18,20,False
OPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3991139364000418,10,90.0,8,78,54,6,76,36,True
OPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.4381454883999343,17,76.47058823529412,4,4,62,2,42,66,True
OPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.2799249660000243,6,83.33333333333334,10,62,54,6,68,48,True
OPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-6.741187695600004,2,50.0,18,62,56,7,72,78,False
OPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,13.071767405600031,7,71.42857142857143,12,64,56,8,26,46,False
OPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,18.965941171199987,3,66.66666666666666,14,74,56,4,18,62,False
OPUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,16.056716429200037,7,71.42857142857143,6,26,60,3,10,18,False
OPUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-16.431909717600014,1,0.0,10,38,58,4,56,50,False
OPUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-6.686229333199989,5,60.0,12,54,56,7,60,54,False
OPUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-8.656738267999986,2,50.0,6,60,56,3,50,40,True
OPUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-11.677423484799998,4,50.0,6,16,62,4,66,10,False
OPUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-4.086517288400005,7,57.14285714285714,8,4,64,2,28,54,True
