Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
SEIUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.5255429487999868,2,50.0,6,12,82,3,20,70,False
SEIUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.569690003600025,9,77.77777777777779,6,18,70,4,28,48,False
SEIUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.47292844040001114,1,0.0,10,74,62,5,50,42,False
SEIUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.71230861319998,4,50.0,22,20,74,4,10,36,False
SEIUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.8565785319999852,13,69.23076923076923,4,38,64,6,4,12,False
SEIUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.704248062399984,3,66.66666666666666,6,44,64,4,40,24,False
SEIUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.344115963999996,5,60.0,18,40,60,7,46,60,False
SEIUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.91389633119998,32,81.25,6,18,60,6,70,10,False
SEIUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.3927799715999925,20,75.0,8,18,62,3,24,24,False
SEIUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-7.874372283200026,17,64.70588235294117,6,12,66,3,24,20,False
SEIUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-5.979336343200026,15,53.333333333333336,10,12,66,4,28,78,False
SEIUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.518362603599924,52,63.46153846153846,14,4,56,7,28,58,False
SEIUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.10528892360004427,3,66.66666666666666,12,74,56,9,16,30,True
SEIUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.4400729516000483,48,87.5,12,18,52,8,54,44,False
SEIUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.607208969999995,6,16.666666666666664,20,4,46,8,38,44,True
SEIUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-25.59724264840001,31,58.06451612903226,12,44,52,7,54,30,False
SEIUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.12807895320001705,3,66.66666666666666,22,8,42,4,22,42,True
SEIUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.7593102928000084,3,66.66666666666666,20,8,76,3,42,72,True
SEIUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.572438879200001,12,75.0,18,34,60,5,32,76,True
SEIUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.5454522196000964,32,71.875,6,10,62,3,38,60,True
SEIUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,7.161244777600051,29,86.20689655172413,14,12,58,7,46,20,False
SEIUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.8653628096001018,25,80.0,18,12,58,9,70,16,False
SEIUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,7.827749955599983,21,80.95238095238095,18,12,58,4,24,40,False
SEIUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,24.309031615600006,7,85.71428571428571,16,30,64,9,72,74,False
SEIUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.5181791799999669,8,62.5,20,26,62,4,14,68,False
SEIUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-14.712889595599988,5,40.0,16,40,60,7,14,36,False
SEIUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-6.4981294811999435,22,86.36363636363636,4,12,68,7,26,12,False
SEIUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-0.006667816000027749,19,63.1578947368421,8,10,72,4,4,40,False
SEIUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-13.751806842000025,8,50.0,18,26,62,3,72,26,False
SEIUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,5.976760062799991,9,66.66666666666666,16,32,60,2,32,32,True
