Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
SEIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.248012570800018,6,66.66666666666666,4,20,64,4,58,44,False
SEIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-12.492778045599984,1,0.0,4,72,62,6,14,22,False
SEIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,13.064176517599968,2,50.0,4,74,62,7,46,46,False
SEIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.785884927999981,8,87.5,4,26,64,4,68,36,False
SEIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.143342988000033,3,66.66666666666666,6,26,64,4,70,66,False
SEIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.7793597984000042,3,66.66666666666666,6,22,66,5,72,74,False
SEIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-10.303802851999977,6,33.33333333333333,4,74,54,7,72,72,False
SEIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-14.687104962800001,5,40.0,18,76,48,6,58,68,False
SEIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.7879040011999487,42,52.38095238095239,4,58,48,8,8,68,False
SEIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.95586795360001,10,40.0,18,54,48,3,78,52,False
SEIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.645413850800014,11,63.63636363636363,22,34,46,9,16,10,False
SEIUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.7907294011999966,24,62.5,14,42,44,9,20,26,False
SEIUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.3833886595999267,21,47.61904761904761,18,42,44,6,36,32,False
SEIUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.408635730000032,4,75.0,14,30,58,3,16,48,True
SEIUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.5555909912000168,2,50.0,16,16,50,2,70,50,True
SEIUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.683521167199977,3,66.66666666666666,16,16,50,2,40,78,True
SEIUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.6921067184000105,1,100.0,18,18,56,3,72,72,True
SEIUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,14,4,88,2,32,48,True
SEIUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.11281477640006088,11,81.81818181818183,14,4,46,6,28,42,False
SEIUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.432977786800029,13,84.61538461538461,14,6,50,6,8,76,False
SEIUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,4.2804276692000265,2,50.0,16,52,58,3,72,78,True
SEIUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-7.088933196000003,1,0.0,12,72,58,4,30,68,True
SEIUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.826291173600008,12,91.66666666666666,16,40,52,9,66,34,False
SEIUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,22.884961027200013,4,75.0,4,38,64,6,38,70,False
SEIUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-7.940046937599998,1,0.0,4,36,64,7,14,66,False
SEIUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-9.109588442800053,22,63.63636363636363,6,4,54,4,52,26,False
SEIUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.06853291319997012,8,75.0,4,16,62,5,34,70,True
SEIUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.4673671987999848,4,50.0,6,10,66,3,66,58,True
SEIUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-14.30325066960002,5,60.0,10,10,56,3,44,66,True
SEIUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-1.546862476399924,28,46.42857142857143,4,68,48,3,52,42,True
